	i	text	gold
251	336	Weiber	(mention_id=42|references=(entity=(entity_id=generic_0003|fullname=generic_0003|gender=u|specialcase_entity=generic)))
252	337	an	
253	338	mir	(mention_id=43|references=(entity=(entity_id=figur_0004|fullname=Gustav|gender=m)))
254	339	interessant	
255	340	zu	
256	341	werden	
257	342	,	
258	343	und	
259	344	es	
260	345	bedurfte	
261	346	nur	
262	347	eines	
263	348	Gegenstandes	
264	349	,	
265	350	um	
266	351	diese	
267	352	unbestimmte	
268	353	Neigung	
269	354	zu	
270	355	entwickeln	
271	356	.	
272	357	Zweytes	
273	358	Kapitel	
274	359	Der	
275	360	glückliche	
276	361	Zeitpunkt	
277	362	war	
278	363	näher	
279	364	,	
280	365	als	
281	366	ich	(mention_id=44|references=(entity=(entity_id=figur_0004|fullname=Gustav|gender=m)))
282	367	dachte	
283	368	.	
284	369	Eine	
285	370	halbe	
286	371	Stunde	
287	372	von	
288	373	unserm	(mention_id=45|references=(entity=(entity_id=figur_0004|fullname=Gustav|gender=m)),(entity=(entity_id=figur_0011|fullname=Tante|gender=f)))
289	374	Guthe	
290	375	lag	
291	376	ein	
292	377	Städtchen	
293	378	,	
294	379	das	
295	380	von	
296	381	jeher	
297	382	sehr	
298	383	viel	
299	384	Anziehendes	
300	385	für	
301	386	mich	(mention_id=46|references=(entity=(entity_id=figur_0004|fullname=Gustav|gender=m)))
302	387	gehabt	
303	388	hatte	
304	389	.	
305	390	Oft	
306	391	fand	
307	392	ich	(mention_id=47|references=(entity=(entity_id=figur_0004|fullname=Gustav|gender=m)))
308	393	mich	(mention_id=48|references=(entity=(entity_id=figur_0004|fullname=Gustav|gender=m)))
309	394	mitten	
310	395	zwischen	
311	396	den	
312	397	kleinen	
313	398	reinlichen	
314	399	Häusern	
315	400	,	
316	401	ohne	
317	402	zu	
318	403	wissen	
319	404	,	
320	405	wie	
321	406	ich	(mention_id=49|references=(entity=(entity_id=figur_0004|fullname=Gustav|gender=m)))
322	407	dahin	
323	408	gekommen	
324	409	war	
325	410	.	
326	411	Träumend	
327	412	ging	
328	413	ich	(mention_id=50|references=(entity=(entity_id=figur_0004|fullname=Gustav|gender=m)))
329	414	dann	
330	415	in	
331	416	den	
332	417	Gasthof	
333	418	,	
334	419	ließ	
335	420	mein	(mention_id=51|references=(entity=(entity_id=figur_0004|fullname=Gustav|gender=m)))
336	421	Essen	
337	422	unter	
338	423	die	
339	424	große	
340	425	Linde	
341	426	bringen	
342	427	,	
343	428	und	
344	429	bezahlte	
345	430	der	
346	431	dicken	
347	432	Wirthin	(mention_id=52|references=(entity=(entity_id=figur_0013|fullname=Wirtin|gender=f)))
348	433	gern	
349	434	die	
350	435	doppelte	
351	436	Zeche	
352	437	;	
353	438	wenn	
354	439	sie	(mention_id=53|references=(entity=(entity_id=figur_0013|fullname=Wirtin|gender=f)))
355	440	mir	(mention_id=54|references=(entity=(entity_id=figur_0004|fullname=Gustav|gender=m)))
356	441	nur	
357	442	erlaubte	
358	443	,	
359	444	so	
360	445	wenig	
361	446	als	
362	447	möglich	
363	448	auf	
364	449	ihr	(mention_id=55|references=(entity=(entity_id=figur_0013|fullname=Wirtin|gender=f)))
365	450	Geschwätz	
366	451	zu	
367	452	antworten	
368	453	.	
369	454	Nein	
370	455	,	
371	456	man	
372	457	sage	
373	458	,	
374	459	was	
375	460	man	
376	461	wolle	
377	462	!	
378	463	es	
379	464	giebt	
380	465	Ahnungen	
381	466	.	
382	467	–	
383	468	Unter	
384	469	dieser	
385	470	Linde	
386	471	....	
387	472	doch	
388	473	welch	
389	474	eine	
390	475	Ausschweifung	
391	476	!	
392	477	Zurück	
393	478	:	
394	479	zu	
395	480	dem	
396	481	schönsten	
397	482	Abende	
398	483	meines	(mention_id=56|references=(entity=(entity_id=figur_0004|fullname=Gustav|gender=m)))
399	484	Lebens	
400	485	!	
401	486	Es	
402	487	war	
403	488	ein	
404	489	Mayabend	
405	490	.	
406	491	Ich	(mention_id=57|references=(entity=(entity_id=figur_0004|fullname=Gustav|gender=m)))
407	492	drängte	
408	493	mich	(mention_id=58|references=(entity=(entity_id=figur_0004|fullname=Gustav|gender=m)))
409	494	mit	
410	495	meinem	(mention_id=59|references=(entity=(entity_id=figur_0004|fullname=Gustav|gender=m)))
411	496	Pferde	
412	497	durch	
413	498	duftende	
414	499	Hecken	
415	500	,	
416	501	und	
417	502	jeder	
418	503	Athemzug	
419	504	vermehrte	
420	505	die	
421	506	Lebensfülle	
422	507	,	
423	508	die	
424	509	meine	(mention_id=60|references=(entity=(entity_id=figur_0004|fullname=Gustav|gender=m)))
425	510	Brust	
426	511	mit	
427	512	schmerzhaftem	
428	513	Entzücken	
429	514	hob	
430	515	.	
431	516	Achtzehn	
432	517	Jahre	
433	518	und	
434	519	der	
435	520	May	
436	521	!	
437	522	–	
438	523	was	
439	524	brauche	
440	525	ich	(mention_id=61|references=(entity=(entity_id=figur_0004|fullname=Gustav|gender=m)))
441	526	mehr	
442	527	zu	
443	528	sagen	
444	529	?	
445	530	–	
446	531	–	
447	532	Schon	
448	533	erblickte	
449	534	ich	(mention_id=62|references=(entity=(entity_id=figur_0004|fullname=Gustav|gender=m)))
450	535	die	
451	536	Linde	
452	537	;	
453	538	aber	
454	539	es	
455	540	war	
456	541	nicht	
457	542	mehr	
458	543	die	
459	544	sehnsüchtige	
460	545	Träumerey	
461	546	,	
462	547	die	
463	548	mich	(mention_id=63|references=(entity=(entity_id=figur_0004|fullname=Gustav|gender=m)))
464	549	vormals	
465	550	bey	
466	551	ihrem	
467	552	Anblicke	
468	553	ergriff	
469	554	.	
470	555	Ich	(mention_id=64|references=(entity=(entity_id=figur_0004|fullname=Gustav|gender=m)))
471	556	zitterte	
472	557	vor	
473	558	brennender	
474	559	Ungeduld	
475	560	,	
476	561	und	
477	562	sprengte	
478	563	mit	
479	564	dem	
480	565	heftigsten	
481	566	Galloppe	
482	567	in	
483	568	den	
484	569	Gasthof	
485	570	hinein	
486	571	.	
487	572	Da	
488	573	flohen	
489	574	zwey	
490	575	weiße	
491	576	Gestalten	(mention_id=65|references=(entity=(entity_id=figur_0009|fullname=Marie|gender=f)),(entity=(entity_id=figur_0010|fullname=Mariens Begleiterin|gender=f)))
492	577	vor	
493	578	mir	(mention_id=66|references=(entity=(entity_id=figur_0004|fullname=Gustav|gender=m)))
494	579	auf	
495	580	die	
496	581	Wiese	
497	582	.	
498	583	Die	
499	584	letzte	(mention_id=67|references=(entity=(entity_id=figur_0009|fullname=Marie|gender=f)))
500	585	schlug	
501	586	die	
502	587	kleine	
503	588	Gatterthüre	
504	589	schnell	
505	590	hinter	
506	591	sich	(mention_id=68|references=(entity=(entity_id=figur_0009|fullname=Marie|gender=f)))
507	592	zu	
508	593	–	
509	594	aber	
510	595	wie	
511	596	glücklich	
512	597	!	
513	598	ihr	(mention_id=69|references=(entity=(entity_id=figur_0009|fullname=Marie|gender=f)))
514	599	Kleid	
515	600	ward	
516	601	von	
517	602	der	
518	603	Thüre	
519	604	festgehalten	
520	605	.	
521	606	»	
522	607	Ach	
523	608	!	
524	609	«	
525	610	rief	
526	611	sie	(mention_id=70|references=(entity=(entity_id=figur_0009|fullname=Marie|gender=f)))
527	612	–	
528	613	und	
529	614	ein	
530	615	Engelgesicht	
531	616	strahlte	
532	617	mir	(mention_id=71|references=(entity=(entity_id=figur_0004|fullname=Gustav|gender=m)))
533	618	entgegen	
534	619	.	
535	620	»	
536	621	Ach	
537	622	!	
538	623	«	
539	624	–	
540	625	rief	
541	626	ich	(mention_id=72|references=(entity=(entity_id=figur_0004|fullname=Gustav|gender=m)))
542	627	–	
543	628	und	
544	629	der	
545	630	Zügel	
546	631	sank	
547	632	mir	(mention_id=73|references=(entity=(entity_id=figur_0004|fullname=Gustav|gender=m)))
548	633	aus	
549	634	der	
550	635	Hand	
551	636	.	
552	637	Ich	(mention_id=74|references=(entity=(entity_id=figur_0004|fullname=Gustav|gender=m)))
553	638	vergaß	
554	639	ihr	(mention_id=75|references=(entity=(entity_id=figur_0009|fullname=Marie|gender=f)))
555	640	zu	
556	641	helfen	
557	642	,	
558	643	und	
559	644	sie	(mention_id=76|references=(entity=(entity_id=figur_0009|fullname=Marie|gender=f)))
560	645	vergaß	
561	646	ihr	(mention_id=77|references=(entity=(entity_id=figur_0009|fullname=Marie|gender=f)))
562	647	Kleid	
563	648	,	
564	649	vergaß	
565	650	,	
566	651	daß	
567	652	sie	(mention_id=78|references=(entity=(entity_id=figur_0009|fullname=Marie|gender=f)))
568	653	fliehen	
569	654	wollte	
570	655	.	
571	656	–	
572	657	Endlich	
573	658	erwachte	
574	659	ich	(mention_id=79|references=(entity=(entity_id=figur_0004|fullname=Gustav|gender=m)))
575	660	,	
576	661	sprang	
577	662	vom	
578	663	Pferde	
579	664	und	
580	665	eilte	
581	666	die	
582	667	Thür	
583	668	zu	
584	669	öffnen	
585	670	.	
586	671	Sie	(mention_id=80|references=(entity=(entity_id=figur_0009|fullname=Marie|gender=f)))
587	672	stammelte	
588	673	etwas	
589	674	von	
590	675	Dank	
591	676	und	
592	677	erröthete	
593	678	.	
594	679	Ohne	
595	680	zu	
596	681	wissen	
597	682	,	
598	683	was	
599	684	ich	(mention_id=81|references=(entity=(entity_id=figur_0004|fullname=Gustav|gender=m)))
600	685	that	
601	686	,	
602	687	drückte	
603	688	ich	(mention_id=82|references=(entity=(entity_id=figur_0004|fullname=Gustav|gender=m)))
604	689	einen	
605	690	brennenden	
606	691	Kuß	
607	692	auf	
608	693	das	
609	694	Kleid	
610	695	,	
611	696	aber	
612	697	plötzlich	
613	698	fühlte	
614	699	ich	(mention_id=83|references=(entity=(entity_id=figur_0004|fullname=Gustav|gender=m)))
615	700	es	
616	701	von	
617	702	meinen	(mention_id=84|references=(entity=(entity_id=figur_0004|fullname=Gustav|gender=m)))
618	703	Lipven	
619	704	entfliehen	
620	705	,	
621	706	und	
622	707	als	
623	708	ich	(mention_id=85|references=(entity=(entity_id=figur_0004|fullname=Gustav|gender=m)))
624	709	wieder	
625	710	aufblickte	
626	711	,	
627	712	war	
628	713	auch	
629	714	sie	
630	715	verschwunden	
631	716	.	
632	717	Drittes	
633	718	Kapitel	
634	719	»	
635	720	Wo	
636	721	bleibst	
637	722	du	(mention_id=86|references=(entity=(entity_id=figur_0009|fullname=Marie|gender=f)))
638	723	denn	
639	724	Marie	(mention_id=87|references=(entity=(entity_id=figur_0009|fullname=Marie|gender=f)))
640	725	?	
641	726	«	
642	727	–	
643	728	rief	
644	729	eine	
645	730	Stimme	
646	731	hinter	
647	732	der	
648	733	Laube	
649	734	–	
650	735	»	
651	736	Marie	(mention_id=88|references=(entity=(entity_id=figur_0009|fullname=Marie|gender=f)))
652	737	!	
653	738	«	
654	739	–	
655	740	wiederholte	
656	741	ich	(mention_id=89|references=(entity=(entity_id=figur_0004|fullname=Gustav|gender=m)))
657	742	–	
658	743	und	
659	744	streckte	
660	745	meine	(mention_id=90|references=(entity=(entity_id=figur_0004|fullname=Gustav|gender=m)))
661	746	Arme	
662	747	sehnsuchtsvoll	
663	748	nach	
664	749	der	
665	750	Laube	
666	751	aus	
667	752	.	
668	753	Aber	
669	754	wie	
670	755	?	
671	756	sah	
672	757	,	
673	758	hörte	
674	759	mich	(mention_id=91|references=(entity=(entity_id=figur_0004|fullname=Gustav|gender=m)))
675	760	auch	
676	761	jemand	
677	762	?	
678	763	–	
679	764	der	
680	765	Gedanke	
681	766	trieb	
682	767	mir	(mention_id=92|references=(entity=(entity_id=figur_0004|fullname=Gustav|gender=m)))
683	768	alles	
684	769	Blut	
685	770	in	
686	771	die	
687	772	Wangen	
688	773	,	
689	774	ich	(mention_id=93|references=(entity=(entity_id=figur_0004|fullname=Gustav|gender=m)))
690	775	hatte	
691	776	nicht	
692	777	den	
693	778	Muth	
694	779	der	
695	780	Stimme	
696	781	zu	
697	782	folgen	
698	783	,	
699	784	und	
700	785	schlich	
701	786	träumend	
702	787	zu	
703	788	meiner	(mention_id=94|references=(entity=(entity_id=figur_0004|fullname=Gustav|gender=m)))
704	789	Linde	
705	790	zurück	
706	791	.	
707	792	Die	
708	793	dicke	
709	794	Wirthin	(mention_id=95|references=(entity=(entity_id=figur_0013|fullname=Wirtin|gender=f)))
710	795	hatte	
711	796	mich	(mention_id=96|references=(entity=(entity_id=figur_0004|fullname=Gustav|gender=m)))
712	797	schon	
713	798	erwartet	
714	799	und	
715	800	kreischte	
716	801	mir	(mention_id=97|references=(entity=(entity_id=figur_0004|fullname=Gustav|gender=m)))
717	802	nun	
718	803	zärtliche	
719	804	Vorwürfe	
720	805	wegen	
721	806	meines	(mention_id=98|references=(entity=(entity_id=figur_0004|fullname=Gustav|gender=m)))
722	807	schnellen	
723	808	Reitens	
724	809	entgegen	
725	810	.	
726	811	Aber	
727	812	ob	
728	813	ich	(mention_id=99|references=(entity=(entity_id=figur_0004|fullname=Gustav|gender=m)))
729	814	mich	(mention_id=100|references=(entity=(entity_id=figur_0004|fullname=Gustav|gender=m)))
730	815	gleich	
731	816	dem	
732	817	Streicheln	
733	818	ihrer	(mention_id=101|references=(entity=(entity_id=figur_0013|fullname=Wirtin|gender=f)))
734	819	unsaubern	
735	820	Hände	
736	821	Preis	
737	822	gab	
738	823	;	
739	824	so	
740	825	konnte	
741	826	ich	(mention_id=102|references=(entity=(entity_id=figur_0004|fullname=Gustav|gender=m)))
742	827	doch	
743	828	keine	
744	829	befriedigende	
745	830	Nachricht	
746	831	wegen	
747	832	der	
748	833	Frauenzimmer	(mention_id=103|references=(entity=(entity_id=figur_0009|fullname=Marie|gender=f)),(entity=(entity_id=figur_0010|fullname=Mariens Begleiterin|gender=f)))
749	834	von	
750	835	ihr	(mention_id=104|references=(entity=(entity_id=figur_0013|fullname=Wirtin|gender=f)))
751	836	erhalten	
752	837	.	
753	838	Im	
754	839	Gegentheil	
755	840	klagte	
756	841	sie	(mention_id=105|references=(entity=(entity_id=figur_0013|fullname=Wirtin|gender=f)))
757	842	sehr	
758	843	bitter	
759	844	über	
760	845	ihr	(mention_id=106|references=(entity=(entity_id=figur_0013|fullname=Wirtin|gender=f)))
761	846	geheimnißvolles	
762	847	Wesen	
763	848	,	
764	849	und	
765	850	meinte	
766	851	:	
767	852	es	
768	853	müsse	
769	854	–	
770	855	da	
771	856	sie	(mention_id=107|references=(entity=(entity_id=figur_0009|fullname=Marie|gender=f)),(entity=(entity_id=figur_0010|fullname=Mariens Begleiterin|gender=f)))
772	857	eine	
773	858	Wohnung	
774	859	auf	
775	860	dem	
776	861	Lande	
777	862	suchten	
778	863	–	
779	864	mit	
780	865	ihrem	(mention_id=108|references=(entity=(entity_id=figur_0009|fullname=Marie|gender=f)),(entity=(entity_id=figur_0010|fullname=Mariens Begleiterin|gender=f)))
781	866	Stande	
782	867	wohl	
783	868	nicht	
784	869	viel	
785	870	zu	
786	871	bedeuten	
787	872	haben	
788	873	.	
789	874	–	
790	875	»	
791	876	Auf	
792	877	dem	
793	878	Lande	
794	879	!	
795	880	«	
796	881	–	
797	882	wiederholte	
798	883	ich	(mention_id=109|references=(entity=(entity_id=figur_0004|fullname=Gustav|gender=m)))
799	884	,	
800	885	und	
801	886	plötzlich	
802	887	keimte	
803	888	in	
804	889	meinem	(mention_id=110|references=(entity=(entity_id=figur_0004|fullname=Gustav|gender=m)))
805	890	Herzen	
806	891	die	
807	892	Hoffnung	
808	893	auf	
809	894	.	
810	895	Entzückt	
811	896	überließ	
812	897	ich	(mention_id=111|references=(entity=(entity_id=figur_0004|fullname=Gustav|gender=m)))
813	898	mich	(mention_id=112|references=(entity=(entity_id=figur_0004|fullname=Gustav|gender=m)))
814	899	diesem	
815	900	Gedanken	
816	901	,	
817	902	und	
818	903	hörte	
819	904	nicht	
820	905	mehr	
821	906	auf	
822	907	das	
823	908	Geschwätz	
824	909	der	
825	910	Wirthin	(mention_id=113|references=(entity=(entity_id=figur_0013|fullname=Wirtin|gender=f)))
826	911	.	
827	912	Sie	(mention_id=114|references=(entity=(entity_id=figur_0013|fullname=Wirtin|gender=f)))
828	913	begriff	
829	914	endlich	
830	915	,	
831	916	daß	
832	917	sie	(mention_id=115|references=(entity=(entity_id=figur_0013|fullname=Wirtin|gender=f)))
833	918	keine	
834	919	Antwort	
835	920	mehr	
836	921	von	
837	922	mir	(mention_id=116|references=(entity=(entity_id=figur_0004|fullname=Gustav|gender=m)))
838	923	erwarten	
839	924	konnte	
840	925	,	
841	926	und	
842	927	ließ	
843	928	mich	(mention_id=117|references=(entity=(entity_id=figur_0004|fullname=Gustav|gender=m)))
844	929	nun	
845	930	mit	
846	931	meinen	(mention_id=118|references=(entity=(entity_id=figur_0004|fullname=Gustav|gender=m)))
847	932	Plänen	
848	933	allein	
849	934	.	
850	935	Mit	
851	936	welchen	
852	937	Plänen	
853	938	!	
854	939	es	
855	940	galt	
856	941	nichts	
857	942	Geringeres	
858	943	als	
859	944	Marien	(mention_id=119|references=(entity=(entity_id=figur_0009|fullname=Marie|gender=f)))
860	945	die	
861	946	Wohnung	
862	947	meiner	(mention_id=120|references=(entity=(entity_id=figur_0004|fullname=Gustav|gender=m)))
863	948	Tante	(mention_id=121|references=(entity=(entity_id=figur_0011|fullname=Tante|gender=f)))
864	949	anzubieten	
865	950	.	
866	951	Aber	
867	952	wie	
868	953	?	
869	954	–	
870	955	durch	
871	956	wen	
872	957	?	
873	958	–	
874	959	nun	
875	960	durch	
876	961	wen	
877	962	anders	
878	963	als	
879	964	durch	
880	965	mich	(mention_id=122|references=(entity=(entity_id=figur_0004|fullname=Gustav|gender=m)))
881	966	selbst	
882	967	?	
883	968	–	
884	969	war	
885	970	ich	(mention_id=123|references=(entity=(entity_id=figur_0004|fullname=Gustav|gender=m)))
886	971	nicht	
887	972	schön	
888	973	und	
889	974	liebenswürdig	
890	975	?	
891	976	sagte	
892	977	mir	(mention_id=124|references=(entity=(entity_id=figur_0004|fullname=Gustav|gender=m)))
893	978	meine	(mention_id=125|references=(entity=(entity_id=figur_0004|fullname=Gustav|gender=m)))
894	979	Tante	(mention_id=126|references=(entity=(entity_id=figur_0011|fullname=Tante|gender=f)))
895	980	das	
896	981	nicht	
897	982	täglich	
898	983	?	
899	984	–	
900	985	hatten	
901	986	es	
902	987	mir	(mention_id=127|references=(entity=(entity_id=figur_0004|fullname=Gustav|gender=m)))
903	988	die	
904	989	Blicke	
905	990	der	
906	991	Mädchen	(mention_id=128|references=(entity=(entity_id=generic_0004|fullname=generic_0004|gender=u|specialcase_entity=generic)))
907	992	nicht	
908	993	oft	
909	994	genug	
910	995	wiederholt	
911	996	?	
912	997	und	
913	998	mußte	
914	999	ich	(mention_id=129|references=(entity=(entity_id=figur_0004|fullname=Gustav|gender=m)))
915	1000	nicht	
916	1001	auf	
917	1002	Marien	(mention_id=130|references=(entity=(entity_id=figur_0009|fullname=Marie|gender=f)))
918	1003	selbst	
919	1004	einen	
920	1005	vortheilhaften	
921	1006	Eindruck	
922	1007	gemacht	
923	1008	haben	
924	1009	?	
925	1010	–	
926	1011	Es	
927	1012	war	
928	1013	beschlossen	
929	1014	:	
930	1015	ich	(mention_id=131|references=(entity=(entity_id=figur_0004|fullname=Gustav|gender=m)))
931	1016	wollte	
932	1017	sie	(mention_id=132|references=(entity=(entity_id=figur_0009|fullname=Marie|gender=f)))
933	1018	aufsuchen	
934	1019	,	
935	1020	und	
936	1021	–	
937	1022	im	
938	1023	Fall	
939	1024	ich	(mention_id=133|references=(entity=(entity_id=figur_0004|fullname=Gustav|gender=m)))
940	1025	sie	(mention_id=134|references=(entity=(entity_id=figur_0009|fullname=Marie|gender=f)))
941	1026	nicht	
942	1027	fände	
943	1028	–	
944	1029	sie	(mention_id=135|references=(entity=(entity_id=figur_0009|fullname=Marie|gender=f)))
945	1030	zu	
946	1031	sprechen	
947	1032	verlangen	
948	1033	.	
949	1034	Viertes	
950	1035	Kapitel	
951	1036	»	
