i	token
388	Farben
389	verwandelt
390	hatte
391	,
392	bildeten
393	den
394	Hintergrund
395	.
396	In
397	nächster
398	Nähe
399	der
400	Garten
401	,
402	malerisch
403	genug
404	in
405	seiner
406	Verwilderung
407	;
408	und
409	hinter
410	den
411	Bäumen
412	hervorschimmernd
413	die
414	roten
415	Ziegeldächer
416	des
417	Dorfes
418	.
419	Und
420	das
421	Ganze
422	verschleiert
423	von
424	dem
425	feinen
426	Hauch
427	eines
428	Oktobermorgens
429	,
430	dessen
431	die
432	Sonne
433	noch
434	nicht
435	Herr
436	werden
437	konnte
438	.
439	Mit
440	der
441	herben
442	,
443	reinen
444	Luft
445	aber
446	wehte
447	anmutend
448	der
449	taktmäßige
450	Schall
451	der
452	Dreschflegel
453	herüber
454	,
455	die
456	auf
457	der
458	Tenne
459	des
460	Gutes
461	geschwungen
462	wurden
463	.
464	Von
465	der
466	Weinflasche
467	war
468	das
469	dunkle
470	Auge
471	des
472	jungen
473	Mannes
474	hinausgeschweift
475	.
476	Er
477	sprang
478	plötzlich
479	empor
480	und
481	trat
482	in
483	die
484	Tür
485	.
486	»
487	Und
488	trotz
489	alledem
490	,
491	Richard
492	,
493	es
494	ist
495	ein
496	reizendes
497	Fleckchen
498	Erde
499	«
500	,
501	sagte
502	er
503	warm
504	,
505	»
506	ich
507	habe
508	für
509	Norddeutschland
510	immer
511	große
512	Sympathien
513	gehabt
514	.
515	Glaube
516	mir
517	,
518	der
519	Faust
520	liest
521	sich
522	hier
523	noch
524	einmal
525	so
526	gut
527	,
528	wo
529	der
530	Brocken
531	dort
532	herüberschaut
533	.
534	Ich
535	bitte
536	dich
537	,
538	krächze
539	nicht
540	mehr
541	wie
542	ein
543	Unglücksrabe
544	!
545	Ich
546	werde
547	Frankfurt
548	nie
549	vergessen
550	,
551	aber
552	auch
553	nicht
554	allzusehr
555	vermissen
556	–
557	hoffe
558	ich
559	.
560	«
561	»
562	Na
563	,
564	Gott
565	bewahre
566	!
567	«
568	scherzte
569	der
570	Kleine
571	,
572	noch
573	immer
574	mit
575	dem
576	leeren
577	Weinglase
578	spielend
579	,
580	»
581	du
582	willst
583	mir
584	doch
585	nicht
586	weismachen
587	–
588	«
589	Aber
590	Linden
591	unterbrach
592	ihn
593	:
594	»
595	Ich
596	will
597	dir
598	gar
599	nichts
600	weismachen
601	,
602	ich
603	will
604	versuchen
605	,
606	ein
607	Landwirt
608	zu
609	werden
610	,
611	und
612	ich
613	will
614	dies
615	nicht
616	nur
617	,
618	weil
619	ich
620	muß
621	,
622	Richard
623	–
624	mir
625	ist
626	wirklich
627	in
628	dem
629	alten
630	Neste
631	ganz
632	behaglich
633	;
634	ergo
635	höre
636	auf
637	,
638	mein
639	Alterchen
640	.
641	«
642	»
643	Na
644	,
645	Glück
646	zu
647	!
648	«
649	erwiderte
650	der
651	andere
652	,
653	neben
654	den
655	Freund
656	tretend
657	und
658	fast
659	zärtlich
660	in
661	das
662	hübsche
663	Männergesicht
664	schauend
665	.
666	»
667	Ich
668	habe
669	ja
670	im
671	allgemeinen
672	nichts
673	einzuwenden
674	gegen
675	dieses
676	Gutsbesitzerspiel
677	,
678	wenn
679	ich
680	nur
681	wüßte
682	wie
683	und
684	wo
685	–
686	.
687	Siehst
688	du
689	,
690	Franz
691	,
692	wäre
693	ich
694	nicht
695	solch
696	ein
697	armer
698	Schlucker
699	,
700	ich
701	sagte
702	dir
703	sofort
704	,
705	›
706	hier
707	,
708	mein
709	Junge
710	,
711	hast
712	du
713	ein
714	Kapital
715	von
716	soundsoviel
717	.
718	Nun
719	fange
720	einmal
721	an
722	,
723	das
724	veraltete
725	lotterige
726	Ding
727	in
728	Zug
729	zu
730	bringen
731	‹
732	.
733	–
734	So
735	,
736	wie
737	es
738	jetzt
739	ist
740	,
741	kann's
742	nicht
743	bleiben
744	.
745	Aber
746	–
747	na
748	,
749	du
750	weißt
751	«
752	,
753	schloß
754	er
755	mit
756	einem
757	Seufzer
758	.
759	Franz
760	Linden
761	hatte
762	abermals
763	keine
764	Antwort
765	,
766	aber
767	er
768	pfiff
769	leise
770	eine
771	lustige
772	Melodie
773	,
774	wie
775	er
776	immer
777	tat
778	,
779	wenn
780	er
781	unangenehme
782	Gedanken
783	verscheuchen
784	wollte
785	.
786	»
787	Ja
788	,
789	pfeife
790	nur
791	«
792	,
793	murmelte
794	der
795	Kleine
796	,
797	»
798	es
799	wird
800	die
801	einzige
802	Musik
803	sein
804	,
805	die
806	du
807	hier
808	zu
809	hören
810	bekommst
811	–
812	oder
813	etwa
814	noch
815	eine
816	knarrende
817	Stubentür
818	oder
819	das
820	Konzert
821	einer
822	höchst
823	respektablen
824	Mäusefamilie
825	,
826	die
827	sich
828	in
829	deinem
830	Zimmer
831	angesiedelt
832	hat
833	.
834	Brr
835	–
836	Franz
837	!
838	Jetzt
839	denke
840	dir
841	dieses
842	einsame
843	Nest
844	im
845	Winter
846	–
847	auf
848	den
849	Bergen
850	Schnee
851	,
852	auf
853	der
854	Straße
855	Schnee
856	,
857	im
858	Garten
859	Schnee
860	und
861	in
862	der
863	Luft
864	weißes
865	Gewimmel
866	–
867	Herr
868	Gott
869	,
870	was
871	willst
872	du
873	die
874	langen
875	Abende
876	hindurch
877	beginnen
878	,
879	an
880	denen
881	wir
882	sonst
883	im
884	Taunus
885	,
886	auf
887	der
888	Bockenheimer
889	Gasse
890	saßen
891	oder
892	im
893	Theater
894	?
895	Wer
896	soll
897	hier
898	Skat
899	mit
900	dir
901	spielen
902	?
903	Für
904	wen
905	willst
906	du
907	deine
908	vielbewunderten
909	Gedichte
910	machen
911	?
912	In
913	der
914	Dorfschenke
915	werden
916	sie
917	sicher
918	nicht
919	verstanden
920	.
921	–
922	Ach
923	,
924	wenn
925	ich
926	dich
927	so
928	ansehe
929	,
930	du
931	hier
932	allein
933	,
934	versauernd
935	und
936	Sorgen
937	dazu
938	!
939	«
940	Er
941	seufzte
942	.
943	»
944	Ich
945	will
946	dir
947	etwas
948	sagen
949	,
950	Franz
951	,
952	Scherz
953	in
954	die
955	Ecke
956	«
957	,
958	fuhr
959	er
960	fort
961	,
962	»
963	du
964	wirst
965	heiraten
966	müssen
967	!
968	Und
969	da
970	gebe
971	ich
972	dir
973	den
974	Rat
975	,
976	tue
977	bei
978	dieser
979	Angelegenheit
980	deinen
981	Idealen
982	ein
983	wenig
984	Zwang
985	an
986	.
987	Sieh
988	ab
989	von
990	elfengleichem
991	Wuchs
992	,
993	sinnigen
994	Augen
995	und
996	holdester
997	Weiblichkeit
998	–
999	zugunsten
1000	eines
1001	anderen
1002	Vorzuges
1003	,
1004	der
1005	durch
1006	nichts
1007	zu
1008	ersetzen
1009	ist
1010	in
1011	unserem
1012	prosaischen
1013	Leben
1014	.
1015	Bringe
1016	mir
1017	kein
1018	armes
1019	Mädchen
1020	,
1021	Franz
1022	,
1023	und
1024	wäre
1025	sie
1026	die
1027	Perle
1028	aller
1029	Weltteile
1030	.
1031	In
1032	deiner
1033	Lage
1034	würde
1035	es
1036	einfach
1037	Torheit
1038	sein
1039	,
1040	eine
1041	Sünde
1042	an
1043	dir
1044	und
1045	allen
1046	deinen
1047	Nachkommen
1048	.
1049	–
1050	Es
1051	schadet
1052	rein
1053	gar
1054	nichts
1055	,
1056	wenn
1057	deine
1058	hübschen
1059	Reime
1060	nicht
1061	auf
1062	sie
1063	passen
1064	–
1065	du
1066	wirst
1067	auch
1068	die
1069	Schönste
1070	nicht
1071	ewig
1072	andichten
1073	.
1074	–
1075	Jammervoll
1076	!
1077	«
1078	Er
1079	stiebte
1080	die
1081	Asche
1082	seiner
1083	Zigarre
1084	ab
1085	.
1086	»
1087	In
1088	Frankfurt
1089	–
1090	hättest
1091	du
1092	ernstlich
1093	gewollt
1094	–
1095	war
1096	was
1097	zu
1098	machen
1099	.
1100	Aber
1101	du
1102	hast
1103	dich
1104	von
1105	den
1106	koketten
1107	Augen
1108	der
1109	kleinen
1110	Thea
1111	völlig
1112	blenden
1113	lassen
1114	.
1115	Wie
1116	oft
1117	habe
1118	ich
1119	mich
1120	damals
1121	geärgert
1122	!
1123	–
1124	Wenn
1125	der
1126	Mensch
1127	über
1128	die
1129	Fünfundzwanzig
1130	hinaus
1131	ist
1132	,
1133	sollte
1134	er
1135	wahrhaftig
1136	vernünftiger
1137	werden
1138	!
1139	«
1140	Franz
1141	Linden
1142	schwieg
1143	beharrlich
1144	,
1145	und
1146	der
1147	Kleine
1148	wußte
1149	sofort
1150	,
1151	daß
1152	er
1153	,
1154	wie
1155	er
1156	sich
1157	auszudrücken
1158	pflegte
1159	,
1160	in
1161	den
1162	Fettopf
1163	getreten
1164	hatte
1165	.
1166	»
1167	Na
1168	,
1169	Franz
1170	,
1171	laß
1172	gut
1173	sein
1174	«
1175	,
1176	scherzte
1177	er
1178	,
1179	»
1180	hier
1181	gibt's
1182	vielleicht
1183	auch
1184	reiche
1185	Mädchen
1186	.
1187	«
1188	»
1189	Ei
1190	gewiß
1191	,
1192	mein
1193	Herr
1194	,
1195	ei
1196	gewiß
1197	«
1198	,
1199	klang
1200	es
1201	hinter
1202	ihnen
1203	,
1204	»
1205	reiche
1206	Mädchen
1207	und
1208	hübsche
1209	Mädchen
1210	.
1211	Unsere
1212	alte
1213	Stadt
1214	ist
1215	von
1216	jeher
1217	dafür
1218	berühmt
1219	gewesen
1220	.
1221	«
1222	Beide
1223	Herren
1224	wandten
1225	sich
1226	nach
1227	dem
1228	Sprecher
1229	um
1230	;
1231	der
1232	Amtsrichter
1233	nur
1234	,
1235	um
1236	mit
1237	einem
1238	ärgerlichen
1239	Achselzucken
1240	sofort
1241	wieder
1242	in
1243	die
1244	Gegend
1245	hinauszuschauen
1246	,
1247	Franz
1248	Linden
1249	,
1250	um
1251	ihn
1252	höflich
1253	zu
1254	begrüßen
1255	.
1256	»
1257	Ich
1258	bringe
1259	die
1260	gewünschten
1261	Notizen
1262	«
1263	,
1264	fuhr
1265	der
1266	Eingetretene
1267	fort
1268	,
1269	ein
1270	kleiner
1271	Mann
1272	in
1273	den
1274	fünfziger
1275	Jahren
1276	,
1277	mit
1278	einem
1279	unglaublich
1280	schmalen
1281	spitzen
1282	Gesicht
1283	,
1284	auf
1285	dem
1286	ein
1287	süßes
1288	Lächeln
1289	spielte
1290	,
1291	devot
1292	in
1293	jeder
1294	Miene
1295	,
1296	jeder
1297	Bewegung
1298	.
1299	»
1300	Ich
1301	danke
1302	sehr
1303	,
1304	Herr
1305	Wolff
1306	«
1307	,
1308	sagte
1309	Franz
1310	Linden
1311	und
1312	nahm
1313	die
1314	Papiere
1315	.
1316	»
1317	Wenn
1318	ich
1319	sonst
1320	noch
1321	dienen
1322	kann
1323	–
1324	–
1325	Fräulein
1326	Rosalie
1327	wird
1328	bezeugen
1329	,
1330	daß
1331	ich
1332	dem
1333	verstorbenen
1334	Herrn
1335	Onkel
1336	stets
1337	ein
1338	dienstwilliger
1339	Freund
1340	gewesen
1341	–
1342	«
1343	»
1344	Ich
1345	bin
1346	völlig
1347	fremd
1348	hier
1349	«
1350	,
1351	erwiderte
1352	der
1353	junge
1354	Hausherr
1355	,
1356	»
1357	es
1358	kann
1359	wohl
1360	sein
1361	,
1362	daß
1363	ich
1364	Ihrer
1365	Hilfe
1366	bedarf
1367	.
1368	«
1369	»
1370	Größte
1371	Ehre
1372	,
1373	Herr
1374	Linden
1375	!
1376	Ja
1377	,
1378	und
1379	wie
1380	gesagt
1381	,
1382	sollten
1383	Sie
1384	in
1385	der
1386	Stadt
1387	Bekanntschaften
1388	suchen
1389	–
1390	da
1391	sind
1392	die
1393	Tubmanns
1394	,
1395	die
1396	Schenks
1397	,
1398	die
1399	Meiers
1400	und
1401	Hellborns
1402	,
1403	und
1404	vor
1405	allem
1406	die
1407	Baumhagens
1408	.
1409	Reiche
1410	und
1411	angenehme
1412	Häuser
1413	,
1414	Herr
1415	Linden
1416	–
1417	werden
1418	mit
1419	offenen
1420	Armen
1421	aufgenommen
1422	,
1423	ist
1424	immer
1425	Mangel
1426	an
1427	liebenswürdigen
1428	Kavalieren
1429	in
1430	der
1431	kleinen
1432	Stadt
1433	.
1434	Die
1435	Herren
1436	von
1437	der
1438	Kavallerie
1439	–
1440	Sie
1441	wissen
1442	schon
1443	–
1444	ein
1445	wenig
1446	oben
1447	hinaus
1448	,
1449	wollen
1450	sich
1451	lediglich
1452	amüsieren
1453	;
1454	–
1455	–
1456	ich
1457	bin
1458	gern
1459	erbötig
1460	,
1461	falls
1462	Sie
1463	–
1464	–
1465	«
1466	Der
1467	Amtsrichter
1468	unterbrach
1469	ihn
1470	mit
1471	einem
1472	gewaltigen
1473	Räuspern
1474	.
1475	»
1476	Franz
1477	«
1478	,
1479	sagte
1480	er
1481	trocken
1482	,
1483	»
1484	was
1485	ist
1486	das
1487	für
1488	ein
1489	Turm
1490	dort
1491	drüben
1492	auf
1493	dem
1494	Berge
1495	?
1496	Du
1497	hast
1498	ja
1499	gestern
1500	die
1501	Generalstabskarte
1502	studiert
1503	.
1504	«
1505	»
1506	Die
1507	Hubertushöhe
1508	«
1509	,
1510	erwiderte
1511	der
1512	junge
1513	Mann
1514	,
1515	zu
1516	ihm
1517	tretend
1518	.
1519	»
1520	Gehört
1521	dem
1522	Freiherrn
1523	von
1524	Lobersberg
1525	«
1526	,
1527	mischte
1528	sich
1529	Herr
1530	Wolff
1531	ein
1532	.
1533	»
1534	Interessiert
1535	mich
1536	gar
1537	nicht
1538	«
1539	,
1540	murmelte
1541	der
1542	Amtsrichter
1543	und
1544	fixierte
1545	,
1546	in
1547	Ermangelung
1548	eines
1549	Fernrohres
1550	,
1551	den
1552	Turm
1553	durch
1554	die
1555	hohle
1556	Hand
1557	.
1558	»
1559	Ich
1560	habe
1561	die
1562	Ehre
1563	,
1564	mich
1565	zu
1566	empfehlen
1567	«
1568	,
1569	schnarrte
1570	Wolff
1571	,
1572	»
1573	muß
1574	noch
1575	hinüber
1576	nach
1577	Lobersberg
1578	.
1579	«
1580	Der
1581	Amtsrichter
1582	nickte
1583	kurz
1584	;
1585	Linden
1586	begleitete
1587	den
1588	Agenten
1589	bis
1590	zur
1591	Tür
1592	und
1593	kam
1594	dann
1595	langsam
1596	zurück
1597	.
1598	»
1599	Nun
1600	erkläre
1601	mir
1602	,
1603	bitte
1604	«
1605	,
1606	fuhr
1607	der
1608	Freund
1609	auf
1610	ihn
1611	los
1612	,
1613	»
1614	wie
1615	kommst
1616	du
1617	zu
1618	diesem
1619	Menschen
1620	–
1621	was
1622	sage
1623	ich
1624	–
1625	zu
1626	dieser
1627	Ratte
1628	,
1629	die
1630	sich
1631	so
1632	unaufgefordert
1633	in
1634	deine
1635	Angelegenheiten
1636	drängt
1637	?
1638	«
1639	Die
1640	dunklen
1641	Augen
1642	Franz
1643	Lindens
1644	sahen
1645	wie
1646	erstaunt
1647	in
1648	das
1649	ärgerliche
1650	Antlitz
1651	des
1652	Amtsrichters
1653	.
1654	»
1655	Je
1656	nun
1657	,
1658	Richard
1659	,
1660	er
1661	ist
1662	des
1663	verstorbenen
1664	Onkels
1665	rechte
1666	Hand
1667	gewesen
1668	,
1669	sozusagen
1670	sein
1671	Faktotum
1672	,
1673	und
1674	schließlich
1675	–
1676	er
1677	darf
1678	wohl
1679	ein
1680	Wörtchen
1681	mitreden
1682	,
1683	da
1684	er
1685	leider
1686	Gottes
1687	eine
1688	große
1689	Hypothek
1690	auf
1691	Niendorf
1692	stehen
1693	hat
1694	.
1695	«
1696	»
1697	Das
1698	berechtigt
1699	ihn
1700	noch
1701	nicht
1702	zu
1703	dem
1704	aufdringlichen
1705	Gebaren
1706	,
1707	das
1708	der
1709	Mann
1710	dir
1711	gegenüber
1712	entfaltet
1713	«
1714	,
1715	sagte
1716	der
1717	Kleine
1718	.
1719	»
1720	I
1721	,
1722	Kreisrichterchen
1723	«
1724	,
1725	entschuldigte
1726	der
1727	junge
1728	Mann
1729	,
1730	»
1731	er
1732	hält
1733	mich
1734	für
1735	einen
1736	Neuling
1737	,
1738	für
1739	einen
1740	Ignoranten
1741	in
1742	dem
1743	heiligen
1744	Getriebe
1745	einer
1746	Landwirtschaft
1747	.
1748	Du
1749	–
1750	–
1751	«
1752	»
1753	Und
1754	ich
1755	halte
1756	ihn
1757	für
1758	einen
1759	dunklen
1760	Ehrenmann
1761	!
1762	Und
1763	wenn
1764	wir
1765	uns
1766	wieder
1767	einmal
1768	sprechen
1769	,
1770	Goldsohn
1771	,
1772	wirst
1773	du
1774	mir
1775	sagen
1776	:
1777	›
1778	Richard
1779	,
1780	weiß
1781	Gott
1782	,
1783	du
1784	hattest
1785	recht
1786	mit
1787	diesem
1788	Menschen
1789	,
1790	der
1791	Kerl
1792	ist
1793	ein
1794	Spitzbube
1795	!
1796	‹
1797	«
1798	»
1799	Weißt
1800	du
1801	«
1802	,
1803	erklärte
1804	Franz
1805	Linden
1806	,
1807	zwischen
1808	Scherz
1809	und
1810	Ernst
1811	schwankend
1812	,
1813	»
1814	ich
1815	wollte
1816	,
1817	ich
1818	hätte
1819	dich
1820	ruhig
1821	in
1822	deiner
1823	Wohnung
1824	am
1825	Goethe-Platz
1826	gelassen
1827	.
1828	Du
1829	bist
1830	imstande
1831	,
1832	mir
1833	mit
1834	deinen
1835	morosen
1836	Ansichten
1837	alles
1838	,
1839	alles
1840	hier
1841	zu
1842	verekeln
1843	.
1844	Komm
1845	,
1846	wir
1847	wollen
1848	einen
1849	Gang
1850	machen
1851	durch
1852	den
1853	Garten
1854	,
1855	dann
1856	wird
1857	es
1858	leider
1859	Zeit
1860	sein
1861	,
1862	daß
1863	du
1864	zur
1865	Bahn
1866	mußt
1867	,
1868	wenn
1869	du
1870	allerwegen
1871	noch
1872	den
1873	Kurierzug
1874	erreichen
1875	willst
1876	.
1877	«
1878	Er
1879	nahm
1880	des
1881	brummenden
1882	Freundes
1883	Arm
1884	und
1885	zog
1886	ihn
1887	mit
1888	sich
1889	,
1890	hinunter
1891	in
1892	die
1893	verschlungenen
1894	Wege
1895	,
1896	auf
1897	denen
1898	schon
1899	das
1900	welke
1901	Laub
1902	der
1903	Bäume
1904	lag
1905	.
1906	»
1907	Ich
1908	bin
1909	überzeugt
1910	,
1911	der
1912	Kerl
1913	hat
1914	ein
1915	Heiratsbüro
1916	«
1917	,
1918	murmelte
1919	ingrimmig
1920	der
1921	Amtsrichter
1922	.
1923	Als
1924	sie
1925	um
1926	die
1927	Ecke
1928	eines
1929	verwilderten
1930	Bosketts
1931	gingen
1932	,
1933	sahen
1934	sie
1935	jenseits
1936	des
1937	kleinen
1938	,
1939	ganz
1940	mit
1941	Wasserlinsen
1942	bedeckten
1943	Teiches
1944	eine
1945	alte
1946	Frau
1947	langsam
1948	dahinschreiten
1949	.
1950	»
1951	Ich
1952	bitte
1953	dich
1954	um
1955	Gottes
1956	willen
1957	«
1958	,
1959	begann
1960	der
1961	Kleine
1962	wieder
1963	,
1964	»
1965	sieh
1966	dir
1967	diese
1968	Gestalt
1969	an
1970	,
1971	diese
1972	Haube
1973	mit
1974	der
1975	ungeheuren
1976	Trauerschleife
1977	,
1978	dieses
1979	wunderliche
1980	Kleid
1981	mit
1982	einer
1983	Taille
1984	,
1985	die
1986	unter
1987	den
1988	Armen
1989	sitzt
1990	.
1991	Und
1992	wie
1993	malerisch
1994	trägt
1995	sie
1996	den
1997	schwarzen
1998	Schal
1999	–
2000	weiß
2001	der
2002	Himmel

