ID_general;ID_general_old;fullname;gender;possible_identity;members;members_names;specialcase;borderline;comment_entity;ID_chapter_1;ID_chapter_2;ID_chapter_3;ID_chapter_4;ID_chapter_5;ID_chapter_6;ID_chapter_7;ID_chapter_8;ID_chapter_9;ID_chapter_10;ID_chapter_11;ID_chapter_12;ID_chapter_13;ID_chapter_14
entity_0014;;Täufling;m;;;;;;;Täufling;Sohn von Johanne;Sohn von Johanne;;;;;Johannes Kind;;Kind von Johanne;; ;Kind von Johanne;
entity_0015;Herr Baumhagen;Leberecht Baumhagen;m;;;;;;;;Herr Baumhagen;;Vater von Gertrud und Jenny;;Herr Baumhagen;Trudchens Vater;Trudchens Vater;Trudchens Vater;Papa von Trudchen;Herr Baumhagen;Leberecht;Vater von Trudchen Baumhagen;Herr Baumhagen
entity_0016;Großmutter von Trudchen Baumhagen;Großmutter von Trudchen Baumhagen;f;;;;;;;;Großmutter von Trudchen Baumhagen;Großmutter von Trudchen Baumhagen;;;Gertruds Großmutter;;Trudchens Großmutter;;;;;;
entity_0017;;Hebamme Schmidt;f;;;;;;;Hebamme;;;;;;;;;;;;;
entity_0018;;Kirchdiener Engelmann;m;;;;;;;Kirchendiener;;;;;;;;;;;;;
entity_0019;;Gott;u;;;;nonfact;;;Gott;Gott;;Gott;Gott;Gott;Gott;Gott;Gott;Gott;Gott;Gott;Gott;Gott
entity_0020;Sohn von Jenny und Artur;Walterchen Fredrich;m;;;;;;;;Sohn von Jenny und Artur;;;Jennys Kind;Jennys Kind;Walterchen;;Walterchen;;;;;
entity_0021;Adelheid;Adelheid Strom;f;;;;;;;;Adelheid;;;;;;Adelheid Strom;Nichte von Tante Rosa;Heidchen Strom;Fräulein Adelheid;Adelheid;Adelheid;Heidchen Strom
entity_0022;;Küster;m;;;;;;;Küster;;;;;;;;;;;;;
entity_0023;;Pastellbildnis einer blondgelockten jugendlichen Schönheit;f;;;;;;;Pastellbildnis einer blondgelockten jugendlichen Schönheit;;;;;;;;;;;;;
entity_0024;;Onkel des Franz Linden;m;;;;;;;Onkel des Franz Linden;Onkel des Franz Linden;Onkel des Franz Linden;;;Onkel des Franz Linden;;;;;;;;
entity_0025;;Bankier;m;;;;;;;Bankier;;;;;;;;;;;;;
entity_0026;;Thea;f;;;;;;;Thea;;;;;;;;;;;;;
entity_0027;;Frauengestalt;f;;;;generic;;;Frauengestalt;;;;;;;;;;;;;
entity_0028;;Fräulein Rosalie;f;;;;;;;Fräulein Rosalie;;;;;;;;;;;;;
entity_0029;;Mutter des Franz Linden;f;;;;;;;Mutter des Franz Linden;;Mutter von Franz Linden;Mutter von Franz Linden;;Franz Lindens Mutter;Franz Lindens Mutter;Franz' Mutter;;;;;;
entity_0030;;Verwalter;m;;;;;;;Verwalter;Verwalter;Verwalter;;;;;;;;;;;
entity_0031;;arme Zukünftige;f;;;;generic, nonfact;;;arme Zukünftige;;;;;;;;;;;;;
entity_0032;;alte Tanten;f;;entity_0011, x;Tante des Franz Linden, x;generic, group;;;alte Tanten;;;;;;;;;;;;;
entity_0033;;imaginärer Erbe;m;;;;nonfact;;;imaginärer Erbe;;;;;;;;;;;;;
entity_0034;;Mensch über 25;u;;;;generic;;;Mensch über 25;;;;;;;;;;;;;
entity_0035;;Kavaliere;m;;x;x;generic, group;;;Kavaliere;;;;;;;;;;;;;
entity_0036;;reiche Mädchen;f;;x;x;generic, group;;;reiche Mädchen;;;;;;;;;;;;;
entity_0037;;Kutscher am Bahnhof;m;;;;;;;Kutscher am Bahnhof;;;;;;;;;;;;;
entity_0038;;Kutscher;m;;;;;;;Kutscher;;;;;;;;;;;;;
entity_0039;;Kollegen von Weishaupt;m;;x;x;group;;;Kollegen von Weishaupt;;;;;;;;;;;;;
entity_0040;;Kinder Israels;u;;x;x;group;;;Kinder Israels;;;;;;;;;;;;;
entity_0041;;Herren von der Kavallerie;m;;;;;;;Herren von der Kavallerie;;;;;;;;;;;;;
entity_0042;;Kind;u;;;;generic;;;Kind;;;;;;;;;;;;;
entity_0043;;Großvater von Franz Linden;m;;;;;;;Großvater von Franz Linden;;;;;;;;;;;;;
entity_0044;;Henker;m;;;;nonfact;;;Henker;;;;Henker;;;;Henker;;;;;
entity_0045;;Fremde Besuchende der Kirche;u;;;;generic;;;Fremde Besuchende der Kirche;;;;;;;;;;;;;
entity_0046;;Großmutter;f;;;;generic;;;Großmutter;;;;;;;;;;;;;
entity_0048;;Familie Hellborn;fm;;x;x;group;;;Familie Hellborn;;;;;;;;;;;;;
entity_0049;;Familie Schenk;fm;;x;x;group;;;Familie Schenk;;;;;;;;;;;;;
entity_0050;;Familie Meier;fm;;x;x;group;;;Familie Meier;;;;;;;;;;;;;
entity_0051;;Familie Tubmann;fm;;x;x;group;;;Familie Tubmann;;;;;;;;;;;;;
entity_0052;;Freiherr von Lobersberg;m;;;;;;;Freiherr von Lobersberg;;;;;;;;;;;;;
entity_0053;;Assessor;m;;;;generic;;;Assessor;;;;;;;;;;;;;
entity_0054;;Schwester des Amtsrichters Weishaupt;f;;;;;;;Schwester des Amtsrichters Weishaupt;;;;;;;;;;;;;
entity_0055;;Mitmenschen der alten Tanten;u;;x;x;generic, group;;;Mitmenschen der alten Tanten;;;;;;;;;;;;;
entity_0056;;Nachkommen des Franz Linden;u;;x;x;group, nonfact;;;Nachkommen des Franz Linden;;;;;;;;;;;;;
entity_0057;;Mephisto;m;;;;nonfact;;;Mephisto;;;;;;;;;;;;;
entity_0058;;Menschen;u;;;;generic;;;Menschen;Menschen;Menschen;;Menschen;;;;;;;;Menschen;
entity_0059;;alte Frau;f;;;;;;;alte Frau;;;;;;;;;;;;;
entity_0060;;Fritze;m;;;;;;;Vater des Täuflings;;;;;;;Johannes Mann;;;Fritze;;verstorbener Ehemann von Johanne;
entity_0061;;hübsche Mädchen;f;;x;x;generic, group;;;hübsche Mädchen;;;;;;;;;;;;;
entity_0062;;die Schönste Zukünftige;f;;;;generic, nonfact;;;die Schönste Zukünftige;;;;;;;;;;;;;
entity_0063;;Zukünfige;f;;;;nonfact;;;Zukünfige;;;;;;;;;;;;;
entity_0064;;imaginiertes Mädchenanlitz;f;;;;generic, nonfact;;;imaginiertes Mädchenanlitz;;;;;;;;;;;;;
entity_0065;;liebgewordene Menschen;u;;x;x;generic, group;;;liebgewordene Menschen;;;;;;;;;;;;;
entity_0066;;reiche Grundbesitzer;m;;x;x;generic, group;;;reiche Grundbesitzer;;;;;;;;;;;;;
entity_0067;;spielende Kinder;u;;;;;;;spielende Kinder;;;;;;;;;;;;;
entity_0068;;Äbtissin Anna;f;;;;;;;Äbtissin Anna;;;;;;;;;;;;;
entity_0069;Adjutant;Herr von Löwenberg;m;;;;;;;;Adjutant;;Leutnant von Löwenberg;;;;;;;;;;
entity_0070;Karoline;Karoline;f;;;;;;;;Karoline;;;Karoline;;;;;;;;;
entity_0071;Sophie;Sophie;f;;;;;;;;Sophie;;Sophie;;Sophie;Sophie;;Sophie;Sophie;;;Sophie;
entity_0072;Referendar;Referendar;m;;;;;;;;Referendar;;;;;;;;;;;;
entity_0073;Sommerfeld;Sommerfeld;m;;;;;;;;Sommerfeld;;;;;;;;;;;;
entity_0074;Alte Dienerin;Alte Dienerin;f;;;;;;;;Alte Dienerin;;;;;;;;;;;;
entity_0075;herbeistürzende Herren 2;herbeistürzende Herren 2;m;;;;;;;;herbeistürzende Herren 2;;;;;;;;;;;;
entity_0076;Hökerfrau;Hökerfrau;f;;;;;;;;Hökerfrau;;Hökerfrau;;;;;;;;;;
entity_0077;Onkel der Tante des Amtsrichters;Onkel der Tante des Amtsrichters;m;;;;;;;;Onkel der Tante des Amtsrichters;;;;;;;;;;;;
entity_0078;Karl Röben;Karl Röben;m;;;;;;;;Karl Röben;;;;;;;;;;;;
entity_0079;Verkäuferin;Verkäuferin;f;;;;;;;;Verkäuferin;;;;;;;;;;;;
entity_0080;Publikum;Publikum;u;;entity_0134, entity_0145, entity_0118;Kinder im Publikum, Weiber im Publikum, Dienstmädchen im Publikum;group;;;;Publikum;;;;;;;;;;;;
entity_0081;Anderer am Mittagstisch;Anderer am Mittagstisch;u;;;;;;;;Anderer am Mittagstisch;;;;;;;;;;;;
entity_0082;Großvater von Trudchen Baumhagen;Großvater von Trudchen Baumhagen;m;;;;;;;;Großvater von Trudchen Baumhagen;;;;;;;;;;;;
entity_0083;Blondine;Blondine;f;;;;nonfact;;;;Blondine;;;;;;;;;;;;
entity_0084;herzogliche Familie A.;herzogliche Familie A.;u;;entity_0069, x;Adjutant, x;group;;;;herzogliche Familie A.;;;;;;;;;;;;
entity_0085;Tante Luischen;Tante Luischen;f;;;;;;;;Tante Luischen;;;;;;;;;;;;
entity_0087;alle Menschen;alle Menschen;mf;;x;x;generic, group;;;;alle Menschen;;Menschheit;;;;;;;;;;
entity_0088;Frau;Frau;f;;;;generic;;;;Frau;;;;;;;;;;;;
entity_0089;Frau von S.;Frau von S.;f;;;;;;;;Frau von S.;;;;;;;Frau von S.;;;;;
entity_0090;Vierter am Mittagstisch;Vierter am Mittagstisch;m;;;;;;;;Vierter am Mittagstisch;;;;;;;;;;;;
entity_0091;misstrauische Menschen zu denen Franz gehört;misstrauische Menschen zu denen Franz gehört;u;;entity_0001, x;Franz Linden, x;group;;;;misstrauische Menschen zu denen Franz gehört;;;;;;;;;;;;
entity_0092;Gäste des Damentees;Gäste des Damentees;f;;x;x;group;;;;Gäste des Damentees;;;;;;;;;;;;
entity_0093;Bote;Bote;m;;;;;;;;Bote;;;;;;;;;;;;
entity_0094;dürftig aussehende Mutter;dürftig aussehende Mutter;f;;;;;;;;dürftig aussehende Mutter;;;;;;;;;;;;
entity_0095;Tante des Amtsrichters;Tante des Amtsrichters;f;;;;;;;;Tante des Amtsrichters;;;;;;;;;;;;
entity_0096;freundliche Fremde;freundliche Fremde;u;;x;x;group;;;;freundliche Fremde;;;;;;;;;;;;
entity_0097;Vater von Johanne;Vater von Johanne;m;;;;;;;;Vater von Johanne;;;;;;;;;;;;
entity_0098;Römer;Römer;u;;;;nonfact;;;;Römer;;;;;;;;;;;;
entity_0099;Johanne und ihre Familie;Johanne und ihre Familie;mf;;;;;;;;Johanne und ihre Familie;;;;;;;;;;;;
entity_0100;Jeder;Jeder;u;;;;generic;;;;Jeder;;;;;;;;;;;;
entity_0101;Mutter von Johanne;Mutter von Johanne;f;;;;;;;;Mutter von Johanne;;;;;;;;;;;;
entity_0102;Königlicher Oberförster;Königlicher Oberförster;m;;;;;;;;Königlicher Oberförster;;;;;;;;;;;;
entity_0103;Husarenoffizier;Husarenoffizier;m;;;;;;;;Husarenoffizier;;;;;;;;;;;;
entity_0104;Herren beim Mittagstisch;Herren beim Mittagstisch;m;;x;x;group;;;;Herren beim Mittagstisch;;;;;;;;;;;;
entity_0105;herbeistürzende Herren 1;herbeistürzende Herren 1;m;;;;;;;;herbeistürzende Herren 1;;;;;;;;;;;;
entity_0106;Damen;Damen;f;;;;;;;;Damen;;;;;;;;;;;;
entity_0107;Brüderchen der Großmutter von Trudchen Baumhagen;Brüderchen der Großmutter von Trudchen Baumhagen;m;;;;;;;;Brüderchen der Großmutter von Trudchen Baumhagen;;;;;;;;;;;;
entity_0108;Geringe Leute;Geringe Leute;u;;;;;;;;Geringe Leute;;;;;;;;;;;;
entity_0109;Frau Röbens;Frau Röbens;f;;;;;;;;Frau Röbens;;;;;;;;;;;;
entity_0110;Frau Oberprediger;Frau Oberprediger;f;;;;;;;;Frau Oberprediger;;;;;;;;;;;;
entity_0111;Fräulein;Fräulein;f;;;;generic;;;;Fräulein;;;;;;;;;;;;
entity_0112;Arme Leute;Arme Leute;u;;;;generic;;;;Arme Leute;;;;;;;;;;;;
entity_0113;Damenwelt;Damenwelt;f;;x;x;generic, group;;;;Damenwelt;;;;;;;;;;;;
entity_0114;Damen auf dem Fest;Damen auf dem Fest;f;;x;x;group;;;;Damen auf dem Fest;;;;;;;;;;;;
entity_0115;Diener von Artur Fredrich;Diener von Artur Fredrich;m;;;; ;;;;Diener von Artur Fredrich;;;;;;;;;;;;
entity_0116;Dienstmann;Dienstmann;m;;;;;;;;Dienstmann;;;;;;;;;;;;
entity_0117;Dienstmädchen von Jenny Fredrich;Dienstmädchen von Jenny Fredrich;f;;;;;;;;Dienstmädchen von Jenny Fredrich;;;;;;;;;;;;
entity_0118;Dienstmädchen im Publikum;Dienstmädchen im Publikum;f;;x;x;group;;;;Dienstmädchen im Publikum;;;;;;;;;;;;
entity_0119;Ehemann von Johanne;Ehemann von Johanne;m;;;;;;;;Ehemann von Johanne;;;;;;;;;;;;
entity_0120;Doktor;Doktor;m;;;;;;;;Doktor;;;Doktor;Doktor;;;;;;;;
entity_0121;Herren auf dem Fest;Herren auf dem Fest;m;;x;x;group;;;;Herren auf dem Fest;;;;;;;;;;;;
entity_0122;Herr Küster;Herr Küster;m;;;;;;;;Herr Küster;;;;;;;;;;;;
entity_0123;Patenkinder von Jenny Fredrich;Patenkinder von Jenny Fredrich;u;;x;x;group;;;;Patenkinder von Jenny Fredrich;;;;;;;;;;;;
entity_0124;Oberpredigerin;Oberpredigerin;f;;;;;;;;Oberpredigerin;;;;;;;;;;;;
entity_0125;Menschen der guten Gesellschaft;Menschen der guten Gesellschaft;u;;;;;;;;Menschen der guten Gesellschaft;;;;;;;;;;;;
entity_0126;Menschen mit Herz;Menschen mit Herz;u;;x;x;generic, group;;;;Menschen mit Herz;;;;;;;;;;;;
entity_0127;Menschen um Trudchen;Menschen um Trudchen;u;;x;x;generic, group;;;;Menschen um Trudchen;;;;;;;;;;;;
entity_0129;Line;Line;f;;;;;;;;Line;;;;;;;;;;;;
entity_0130;Leute;Leute;u;;x;x;group;;;;Leute;;;;;;;;;;;;
entity_0131;Jäger;Jäger;m;;;;generic, nonfact;;;;Jäger;;;;;;;;;;;;
entity_0132;Kellner;Kellner;m;;;;;;;;Kellner;;;;;;;;;;;;
entity_0133;Kind der dürftig aussehenden Mutter;Kind der dürftig aussehenden Mutter;u;;;;;;;;Kind der dürftig aussehenden Mutter;;;;;;;;;;;;
entity_0134;Kinder im Publikum;Kinder im Publikum;u;;x;x;group;;;;Kinder im Publikum;;;;;;;;;;;;
entity_0135;Landrätin;Landrätin;f;;;;;;;;Landrätin;;;;;;;;;;;;
entity_0136;Prinz;Prinz;m;;;;generic, nonfact;;;;Prinz;;;;;;;;;;;;
entity_0137;Oberst;Oberst;m;;;;;;;;Oberst;;;;;;;;;;;;
entity_0138;Stadträtin;Stadträtin;f;;;;;;;;Stadträtin;;;;;;;;;;;;
entity_0139;Schulmeister;Schulmeister;m;;;;;;;;Schulmeister;;;;;;;;;;;;
entity_0140;Rittmeister von Brelow;Rittmeister von Brelow;m;;;;;;;;Rittmeister von Brelow;;Rittmeister von Brelow;;;;;Rittmeister von Brelow;;;;;
entity_0141;Ritter;Ritter;m;;;;generic, nonfact;;;;Ritter;;;;;;;;;;;;
entity_0142;Schwester des Amtsrichters;Schwester des Amtsrichters;f;;;;;;;;Schwester des Amtsrichters;;;;Schwester des Amtsrichters Weishaupt;;;;;;;;
entity_0143;Verehrer der Blondine;Verehrer der Blondine;m;;;;;;;;Verehrer der Blondine;;;;;;;;;;;;
entity_0144;Werkmeister im Baumhag'schen Betrieb;Werkmeister im Baumhag'schen Betrieb;m;;;;;;;;Werkmeister im Baumhag'schen Betrieb;;;;;;;;;;;;
entity_0145;Weiber im Publikum;Weiber im Publikum;f;;x;x;group;;;;Weiber im Publikum;;;;;;;;;;;;
entity_0146;hübsche Mädchen am Baumhag'schen Fest;hübsche Mädchen am Baumhag'schen Fest;f;;x;x;group;;;;hübsche Mädchen am Baumhag'schen Fest;;;;;;;;;;;;
entity_0147;tüchtiger Mensch;tüchtiger Mensch;u;;;;generic;;;;tüchtiger Mensch;;;;;;;;;;;;
entity_0148;Ökonomierat;Ökonomierat;m;;;;;;;;Ökonomierat;;;;;;;;;;;;
entity_0149;5;Mutter des Kindes;f;;;;;;;;;Mutter des Kindes;;;;;;;;;;;
entity_0150;;liebenswürdige Leute;u;;x;x;generic, group;;;;;liebenswürdige Leute;;;;;;;;;;;
entity_0151;;Personen, denen Tante Rosalie wohlwollte;u;;x;x;group;;;;;Personen, denen Tante Rosalie wohlwollte;;;;;;;;;;;
entity_0152;;Liebender;m;;;;generic;;;;;Liebender;;;;;;;;;;;
entity_0153;;Heiland;m;;;;;nonfact;;;;Heiland;;;;;;;;;;;
entity_0154;;Dörte;f;;;;;;;;;Dörte;;;;;;;;;;;
entity_0155;;Gesellschaft;u;;x;x;generic, group;;;;;Gesellschaft;;;;;;;;;;;
entity_0156;;Hausknecht;m;;;;;;;;;Hausknecht;;;;;;;;;;;
entity_0157;;Christenmenschen;u;;x;x; group, nonfact;;;;;Christenmenschen;;;;;;;;;;;
entity_0158;;Briefträger;m;;;;;;;;;Briefträger;;;;;;;;;;;
entity_0159;;Dornröschen;f;;;;nonfact;;;;;Dornröschen;;;;;;;;;;;
entity_0160;;Dorfschönen;f;;x;x;group;;;;;Dorfschönen;;;;;;;;;;;
entity_0161;;Kinderschar;mf;;entity_0162, x;Mädchenschar, x;group;;;;;Kinderschar;;;;;;;;;;;
entity_0162;;Mädchenschar;f;;x;x;group;;;;;Mädchenschar;;;;;;;;;;;
entity_0163;;Werkführer;m;;;;nonfact;;;;;Werkführer;;;;;;;;;;;
entity_0164;;alte Dorfbewohner;u;;x;x;group;;;;;alte Dorfbewohner;;;;;;;;;;;
entity_0165;;junge Dorfbewohner;u;;x;x;group;;;;;junge Dorfbewohner;;;;;;;;;;;
entity_0166;;junges Paar;mf;;x;x;generic, group ;;;;;junges Paar;;;;;;;;;;;
entity_0167;;Sohn des Ehepaares;f;;;;;;;;;Sohn des Ehepaares;;;;;;;;;;;
entity_0168;;Kutscher;m;;;;;;;;;;Kutscher;;;;;;;;;;
entity_0169;;einen Menschen;u;;;;; ;;;;;einen Menschen;;;;;;;;;;
entity_0171;;Dienerschaft;u;;entity_0071, entity_0129, x;Sophie,Line,x;group; ;;;;;Dienerschaft;;;;;;;;;;
entity_0172;;Konditor;m;;;;;;;;;;Konditor;;;;;;;;;;
entity_0173;;Weihnachtsgesellschaft;u;;x;x;group; ;;;;;Weihnachtsgesellschaft;;;;;;;;;;
entity_0174;;Verwandtschaft Baumhagen;mf;;entity_0009, entity_0008, entity_0010, x;Tante Pauline, Onkel Heinrich, Familie Baumhagen, x;group;;;;;;Verwandtschaft Baumhagen;;;;;;;;;;
entity_0175;;Hammeln  ;f;;;;;;;;;;;Hammeln;;;;;;;;;
entity_0176;;Sprachlehrer;m;;;;;;;;;;;Sprachlehrer;;;;;;;;;
entity_0177;;Frau Lehrerin;f;;;;;;;;;;;Frau Lehrerin;;;;;;;;;
entity_0178;;Männer;m;;;;;;;;;;;Männer;Männer;;Männer;;;;;;
entity_0179;;Gustav Seyfried;m;;;;;;;;;;;Gustav Seyfried;;;;;;;;;
entity_0180;;August Seemann;m;;;;;;;;;;;August Seemann;;;;;;;;;
entity_0181;;Ältestes Kind der Lehrerfamilie;u;;;;;;;;;;;Ältestes Kind der Lehrerfamilie;;;;;;;;;
entity_0182;;Diener für Hammeln;m;;;;nonfact;;;;;;;Diener für Hammeln;;;;;;;;;
entity_0183;;Lehrerfamilie;mf;;entity_0176, entity_0177, entity_0181, entity_0190;Sprachlehrer, Frau Lehrerin, Ältestes Kind der Lehrerfamilie, Jüngstes Kind der Lehrerfamilie;group;;;;;;;Lehrerfamilie;;;;;;;;;
entity_0184;;Kinder der Lehrerfamilie;u;;;;;;;;;;;Kinder der Lehrerfamilie;;;;;;;;;
entity_0185;;Bedürftige;u;;x;x;group;;;;;;;Bedürftige;;;;;;;;;
entity_0186;;Großmama;m;;;;;;;;;;;Großmama;;;;;;;;;
entity_0187;;Gäste;u;;;;;;;;;;;Gäste;;;;;;;;;
entity_0188;;Hammelns Tochter;f;;;;;;;;;;;Hammelns Tochter;;;;;;;;;
entity_0189;;Landrat;m;;;;;;;;;;;Landrat;;;;;;;;;
entity_0190;;Jüngstes Kind der Lehrerfamilie;u;;;;;;;;;;;Jüngstes Kind der Lehrerfamilie;;;;;;;;;
entity_0191;;Louis;m;;;;;;;;;;;Louis;;;;;;;;;
entity_0192;;potenzieller Mann in bessrer Stellung;m;;;;nonfact;;;;;;;potenzieller Mann in bessrer Stellung;;;;;;;;;
entity_0193;;liebendes Paar;mf;;x;x;generic, group;;;;;;; ;liebendes Paar;;;;;;;;
entity_0194;;Voreltern;mf;;;;;;;;;;;;Voreltern;;;;;;;;
entity_0195;;Appetit verlierende Personen;u;;x;x;generic, group;;;;;;;;Appetit verlierende Personen;;;;;;;;
entity_0196;;Lebende;u;;;;generic;;;;;;;;Lebende;;;;;;;;
entity_0197;;Menschen auf den Straßen (Beerdigung);u;;x;x;group;;;;;;;;Menschen auf den Straßen (Beerdigung);;;;;;;;
entity_0198;;Frauen bei Beerdigungen;f;;x;x;generic, group;;;;;;;;Frauen bei Beerdigungen;;;;;;;;
entity_0199;;Onkel Heinrichs Vater;m;;;;;;;;;;;;Onkel Heinrichs Vater;;;;;;;;
entity_0200;;Onkel Heinrichs Mutter;f;Trudchens Großmutter;;;;;;;;;;;Onkel Heinrichs Mutter;;;;;;;;
entity_0201;;Tote;u;;x;x;generic, group;;;;;;;;Tote;;;;;;;;
entity_0202;;andere Menschen;u;;x;x;generic, group;;;;;;;;andere Menschen;;;;;;;;
entity_0203;;nicht die schlechtesten Männer;m;;x;x;generic, group;;;;;;;;nicht die schlechtesten Männer;;;;;;;;
entity_0204;;Hochzeitsgäste;u;;entity_0006, entity_0008, entity_0009, entity_0007, entity_0005, entity_0206, x;Jenny, Onkel Heinrich, Tante Stadträtin, Arthur, Frau Baumhagen, Cousinen, x;group;;;;;;;;;Hochzeitsgäste;;;;;;;
entity_0205;;Damen auf der Hochzeit;f;;entity_0006, entity_0009, entity_0005, x;Jenny, Tante Stadträtin, Ottilie Baumgarten, x;group;;;;;;;;;Damen auf der Hochzeit;;;;;;;
entity_0206;;Cousinen;f;;x;x;group;;;;;;;;;Cousinen;;;;;;;
entity_0207;;Mensch;u;;;;generic;;;;;;;;;Mensch;;;;;;;
entity_0208;;Gärtnerbursche;m;;;;;;;;;;;;;Gärtnerbursche;;;;;;;
entity_0209;;berühmter Arzt;m;;;;;;;;;;;;;berühmter Arzt;;;;;;;
entity_0210;;Eheherr;m;;;;generic;;;;;;;;;;Eheherr;;;;;;
entity_0211;;Mädchen;f;;x;x;generic, group;;;;;;;;;;Mädchen;;;;;;
entity_0212;;Käthchen;f;;;;nonfact;;;;;;;;;;Käthchen;;;;;;
entity_0213;;Weib;f;;;;generic;;;;;;;;;;Weib;;;;;;
entity_0214;;Stiefsohn von Tante Rosas Tante;m;;;;;;;;;;;;;;Stiefsohn von Tante Rosas Tante;;;;;;
entity_0215;;Tante Rosas Mutter;f;;;;;;;;;;;;;;Tante Rosas Mutter;;;;;;
entity_0216;;Dorfleute;u;;x;x;group;;;;;;;;;;Dorfleute;;;;;;
entity_0217;;Alte;u;;x;x;generic, group;;;;;;;;;;Alte;;;;;;
entity_0218;;Adelheids Großvater;m;;;;;;;;;;;;;;Adelheids Großvater;;;;;;
entity_0219;;Arturs Cousine;f;;;;;;;;;;;;;;Arturs Cousine;;;;;;
entity_0220;;Arme des Dorfes;u;;x;x;group;;;;;;;;;;Arme des Dorfes;;;;;;
entity_0221;;Fürst;m;;;;generic;;;;;;;;;;Fürst;;;;;;
entity_0222;;Schwester von Käthchen;f;;;;;;;;;;;;;;Schwester von Käthchen;;;;;;
entity_0223;;Knechte;m;;x;x;group;;;;;;;;;;Knechte;;;;;;
entity_0224;;Handwerker;m;;x;x;group;;;;;;;;;;Handwerker;;;;;;
entity_0225;;Hausherr;m;;;;generic;;;;;;;;;;Hausherr;;;;;;
entity_0226;;Tante Rosas Tante;f;;;;;;;;;;;;;;Tante Rosas Tante;;;;;;
entity_0227;;Tante Rosas Onkel;m;;;;;;;;;;;;;;Tante Rosas Onkel;;;;;;
entity_0228;;Shakespeare;m;;;;;;;;;;;;;;Shakespeare;;;;;;
entity_0229;;Tapezierer;m;;x;x;group;;;;;;;;;;Tapezierer;;;;;;
entity_0230;;Untertan;m;;;;;generic;;;;;;;;;Untertan;;;;;;
