ID_general;ID_general_old;fullname;gender;possible_identity_with;members;members_names;specialcase;borderline;comment_entity;ID_chapter_1;ID_chapter_2;ID_chapter_3;ID_chapter_4;ID_chapter_5;ID_chapter_6;ID_chapter_7;ID_chapter_8;ID_chapter_9;ID_chapter_10;ID_chapter_11;ID_chapter_12;ID_chapter_13;ID_chapter_14;ID_chapter_15;ID_chapter_16;ID_chapter_17;ID_chapter_18;ID_chapter_19;ID_chapter_20;ID_chapter_21;ID_chapter_22;ID_chapter_23;ID_chapter_24;ID_chapter_25;ID_chapter_26;ID_chapter_27;ID_chapter_28;ID_chapter_29;ID_chapter_30;ID_chapter_31;ID_chapter_32;ID_chapter_33;ID_chapter_34;ID_chapter_35;ID_chapter_36;ID_chapter_37
entity_0055;figur_0110;Schülerinnen die kein Zeugnis empfangen haben;f;;entity_0006, x;Ottilie, x;group;;;;;;;;Schülerinnen die kein Zeugnis empfangen haben;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
entity_0056;figur_0111;alle Lehrer der Pension;u;;entity_0037, x;Gehülfe, x;group;;;;;;;;Lehrer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
entity_0057;figur_0115;alle Erziehenden außer Gehülfe;u;;entity_0023, x;Vorsteherin, x;group;members;Vorsteherin auf jeden Fall dazu, da in der Situation anwesend, z.B. rasche und treffliche Lehrer aus vorherigem Kapitel nicht eingeschlossen, wegen adhoc-Regel bei Gruppen!;;;;;;alle Erziehenden außer Gehülfe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
entity_0058;figur_0117;Personen in der Pension;u;;entity_0037, entity_0005, entity_0006, entity_0023, x;Gehülfe, Ottilie, Luciane, Vorsteherin, x;group;members;"""Personen"" hier abstrahiert über Erziehende und Zöglinge der Pension, allerdings als members nur unmittelbar beteiligte annotiert, nicht alle unspezifischen Gruppen";;;;;;Personen in der Pension;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
entity_0059;figur_0119;andere Schülerinnen außer Ottilie;f;;x;x;group;;Wieder als eigene Gruppe von Schülerinnen konzipiert (und nicht einer der anderen Schülerinnen-Gruppen subsumiert), da nicht völlig klar, welche Gruppen das jeweils sind. ;;;;;;andere Schülerinnen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
entity_0060;figur_0120;manche Schülerinnen außer Ottilie;f;;x;x;group;;Wieder als eigene Gruppe von Schülerinnen konzipiert (und nicht einer der anderen Schülerinnen-Gruppen subsumiert), da nicht völlig klar, welche Gruppen das jeweils sind. ;;;;;;manche Schülerinnen außer Ottilie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
entity_0061;figur_0121;vorsitzender Prüfender;m;;;;;;;;;;;;vorsitzender Prüfender;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
entity_0062;figur_0122;Bettler;m;;;;;;;;;;;;;Bettler;;;;;;;;;Bettler;Bettler;;;;;;;;;;;;;;;;;;;;
entity_0063;figur_0123;Karl I. von England;m;;;;;;;;;;;;;Karl I.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
entity_0064;figur_0130;Dorfbewohner;u;;x;x;group;;;;;;;;;Dorfbewohner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
entity_0065;figur_0131;altes Paar im Dorf;mf;;x;x;group;;;;;;;;;altes Paar im Dorf;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
entity_0066;figur_0133;Hausbewohner;u;;entity_0002, entity_0001, entity_0003, x;Charlotte, Eduard, Hauptmann, x;group;;;;;;;;;Hausbewohner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
entity_0067;figur_0134;andere Dorfbewohner;u;;x;x;group;;;;;;;;;andere Dorfbewohner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
entity_0068;figur_0139;Armer;u;;;;;;;;;;;;;Armer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
entity_0069;figur_0143;Ein Dorfbewohner;u;;;;;;;;;;;;;Ein Dorfbewohner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
entity_0070;figur_0150;Gott;u;;;;;;;;;;;;;Gott;;;;;;;;;;;Gott;;;Gott;;Gott;Gott;;;Gott;;;;;;Gott;;;;Gott
entity_0071;figur_0152;Obrigkeit;u;;x;x;group;;;;;;;;;Obrigkeit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
entity_0072;figur_0153;Richter Karls I. von England im Himmel;u;;x;x;group;;;;;;;;;Richter Karls I. von England im Himmel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
entity_0073;figur_0154;Wirt im Dorf;m;;;;;;;;;;;;;Wirt im Dorf;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
entity_0074;figur_0156;dritter Dorfbewohner;u;;;;;;;;;;;;;dritter Dorfbewohner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
entity_0075;figur_0158;zweiter Dorfbewohner;u;;;;;;;;;;;;;zweiter Dorfbewohner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
entity_0076;figur_0160;Ottilies Vater;m;;;;;;;;;;;;;;Ottilies Vater;;Ottilies Vater;;;;;;;;;;;;;;;;;;;;;;;;;;;
entity_0077;figur_0161;Kopist;m;;;;;;;;;;;;;;Kopist;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
entity_0078;figur_0162;Müller;m;;;;;;;;;;;;;;Müller;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
entity_0079;figur_0163;gegenwärtiger Pächter;m;;;;;;;;;;;;;;gegenwärtiger Pächter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
entity_0080;figur_0165;Charlottes Vorfahren;u;;x;x;group;;;;;;;;;;Charlottes Vorfahren;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
entity_0081;figur_0167;Müllerin;f;;;;;;;;;;;;;;Müllerin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
entity_0082;figur_0169;Waldbauern;u;;x;x;group;;;;;;;;;;Waldbauern;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
entity_0083;figur_0170;Komponist der Sonaten;u;;;;;;;;;;;;;;;Komponist;;;;;;;;;;;;;;;;;;;;;;;;;;;;
entity_0084;figur_0171;Maurer;m;;;;;;;;;;;;;;;;Maurer;;;;;;;;;;;;;;;;;;;;;;;;;;;
entity_0085;figur_0172;Baronesse;f;;;;;;;;;;;;;;;;Baronesse;Baronesse;Baronesse;Baronesse;;;;;;;;;;;Baronesse;Baronesse;Baronesse;;;;;;;;Baronesse;;;
entity_0086;figur_0173;Graf;m;;;;;;;;;;;;;;;;Graf;Graf;Graf;Graf;;Graf;;Graf;;;;;;;Graf;Graf;Graf;;;Graf;;;;;;;;
entity_0087;figur_0174;Gesellschaft;u;;entity_0002, entity_0001, entity_0003, entity_0006, entity_0092, entity_0091, entity_0107, x;Charlotte, Eduard, Hauptmann, Ottilie, Gäste, Offizier, Mancher Anwesender, Frauenschar, x;group;members;;;;;;;;;;;Gesellschaft;;;;;;;;;;;;;;;;;;;;;;;;;;;
entity_0088;figur_0176;Handwerker;m;;x;x;group;;;;;;;;;;;;Handwerker;;;;;;;;;;;;;;;;;;;;;;;;;;;
entity_0089;figur_0177;Bewohner des Dorfes;u;;x;x;group;;evtl. identisch mit obigen Bewohnern des Dorfes, aber overlap nicht sicher klar;;;;;;;;;;Bewohner;;;;;;;;;;;;;;;;;;;;;;;;;;;
entity_0090;figur_0179;Männerschar;m;;entity_0090, entity_0110, entity_0112;Knaben, Jünglinge, Männer;group;;;;;;;;;;;;Männerschar;;;;;;;;;;;;;;;;;;;;;;;;;;;
entity_0091;figur_0180;Offizier;m;;;;;;;;;;;;;;;;Offizier;;;;;;;;;;;;;;;;;;;;;;;;;;;
entity_0092;figur_0184;Gäste;u;;entity_0119, x;vornehmste Gäste, x;group;;;;;;;;;;;;Gäste;;;;;;;;;;;;;;;;;;;;;;;;;;;
entity_0093;figur_0185;ein Arbeiter;m;;;;;;;;;;;;;;;;ein Arbeiter;;;;;;;;;;;;;;;;;;;;;;;;;;;
entity_0094;figur_0187;Frauenschar;f;;entity_0101, entity_0109, entity_0111;Mädchen, Jungfrauen, Frauen;group;;;;;;;;;;;;Frauenschar;;;;;;;;;;;;;;;;;;;;;;;;;;;
entity_0095;figur_0188;Frauenzimmer;f;;;;;;;;;;;;;;;;Frauenzimmer;;;;;;;;;;;;;;;;;;;;;;;;;;;
entity_0096;figur_0190;denen Mittler zum Frieden verholfen hat;u;;x;x;group;;;;;;;;;;;;denen Mittler zum Frieden verholfen hat;;;;;;;;;;;;;;;;;;;;;;;;;;;
entity_0097;figur_0191;irgendein Gast;u;;;;nonfact;;;;;;;;;;;;irgendein Gast;;;;;;;;;;;;;;;;;;;;;;;;;;;
entity_0098;figur_0193;Bauarbeiter;m;;x;x;group;;;;;;;;;;;;Bauarbeiter;;;;;;;;;;;;;;;;;;;;;;;;;;;
entity_0099;figur_0194;Leichteste Gäste;u;;x;x;group;;;;;;;;;;;;Leichteste Gäste;;;;;;;;;;;;;;;;;;;;;;;;;;;
entity_0100;figur_0195;Mehrere aus der Gesellschaft;u;;x;x;group;;;;;;;;;;;;Mehrere aus der Gesellschaft;;;;;;;;;;;;;;;;;;;;;;;;;;;
entity_0101;figur_0197;Frauen;f;;x;x;group;;;;;;;;;;;;Frauen;;;;;;;;;;;;;;;;;;;;;;;;;;;
entity_0102;figur_0198;Gemeinde;u;;entity_0090, entity_0110, entity_0112, entity_0101, entity_0109, entity_0111, x;Knaben, Jünglinge, Männer, Mädchen, Jungfrauen, Frauen, x;group;;;;;;;;;;;;Gemeinde;;;;;;;;;;;;;;;;;;;;;;;;;;;
entity_0103;figur_0200;Ein Arbeitsmann;m;;;;;;;;;;;;;;;;Ein Arbeitsleute;;;;;;;;;;;;;;;;;;;;;;;;;;;
entity_0104;figur_0201;Eduards Familie;u;;x;x;group;members, ID;"nicht ganz klar, worauf sich ""Seinigen"" bezieht. Da es heißt, diese würden eingeladen scheint es nicht nur Charlotte zu meinen. Also vllt. Verwandtschaft von Eduard? Diese aber sonst nie erwähnt";;;;;;;;;;Eduards Familie;;;;;;;;;;;;;;;;;;;;;;;;;;;
entity_0105;figur_0203;Arbeitsleute;m;;x;x;group;;;;;;;;;;;;Arbeitsleute;;;;;;;;;;;;;;;;;;;;;;;;;;;
entity_0106;figur_0207;Gefolge der Herrschaft;u;;x;x;group;;;;;;;;;;;;Gefolge der Herrschaft;;;;;;;;;;;;;;;;;;;;;;;;;;;
entity_0107;figur_0208;Mancher Anwesender;u;;x;x;group;;;;;;;;;;;;Mancher Anwesender;;;;;;;;;;;;;;;;;;;;;;;;;;;
entity_0108;figur_0209;Männer;m;;x;x;group;;;;;;;;;;;;Männer;;;;;;;;;;;;;;;;;;;;;;;;;;;
entity_0109;figur_0210;Mädchen;f;;x;x;group;;;;;;;;;;;;Mädchen;;;;;;;;;;;;;;;;;;;;;;;;;;;
entity_0110;figur_0211;Knaben;m;;x;x;group;;;;;;;;;;;;Knaben;;;;;;;;;;;;;;;;;;;;;;;;;;;
entity_0111;figur_0212;Jungfrauen;f;;x;x;group;;;;;;;;;;;;Jungfrauen;;;;;;;;;;;;;;;;;;;;;;;;;;;
entity_0112;figur_0213;Jünglinge;m;;x;x;group;;;;;;;;;;;;Jünglinge;;;;;;;;;;;;;;;;;;;;;;;;;;;
entity_0113;figur_0214;Kanzellist;m;;;;;;;;;;;;;;;;Kanzellist;;;;;;;;;;;;;;;;;;;;;;;;;;;
entity_0114;figur_0217;Zuschauer;u;;x;x;group;;;;;;;;;;;;Zuschauer;;;;;;;;;;;;;;;;;;;;;;;;;;;
entity_0115;figur_0218;Tätige;u;;x;x;group;;;;;;;;;;;;Tätige;;;;;;;;;;;;;;;;;;;;;;;;;;;
entity_0116;figur_0220;einer der Gäste;m;;x;x;group;;;;;;;;;;;;einer der Gäste;;;;;;;;;;;;;;;;;;;;;;;;;;;
entity_0117;figur_0221;gegenwärtige und künftige Besitzer des Hauses;u;;entity_0001, entity_0002, x ;Eduard, Charlotte, x;group, nonfact;;;;;;;;;;;;gegenwärtige und künftige Besitzer des Hauses;;;;;;;;;;;;;;;;;;;;;;;;;;;
entity_0118;figur_0223;schöne und würdige Personen;u;;x;x;group;;;;;;;;;;;;schöne und würdige Personen;;;;;;;;;;;;;;;;;;;;;;;;;;;
entity_0119;figur_0224;vornehmste Gäste;u;;x;x;group;;;;;;;;;;;;vornehmste Gäste;;;;;;;;;;;;;;;;;;;;;;;;;;;
entity_0120;figur_0227;Freund des Grafen;m;;;;;;;;;;;;;;;;;Freund des Grafen;;;;;;;;;;;;;;;;;;;;;;;;;;
entity_0121;figur_0228;Jugendfreundin Charlottes;f;;;;;;;;;;;;;;;;;Jugendfreundin Charlottes;;;;;;;;;;;;;;;;;;;;;;;;;;
entity_0122;figur_0229;Freundin der Baronesse;f;;;;;;;;;;;;;;;;;Freundin der Baronesse;;;;;;;;;;;;;;;;;;;;;;;;;;
entity_0123;figur_0237;Bote;m;;;;;;bei den Boten in der Regel nicht klar, ob es dieselbe Figur ist wie vorherige Boten;;;;;;;;;;;Bote;;;;;;;;;;;;;;;;;;;;;;;;;;
entity_0124;figur_0240;Aufwartende;u;;x;x;group;;;;;;;;;;;;;Aufwartende;;;;;;;;;;;;;;;;;;;;;;;;;;
entity_0125;figur_0241;Bedienstete;u;;x;x;group;;auch hier overlap mit vorherigen Bediensteten unklar;;;;;;;;;;;Bedienstete;;;;;;;;;;;;;;;;;;;;;;;;;;
entity_0126;figur_0243;Gemahlin des Grafen;f;;;;;;;;;;;;;;;;;Gemahlin des Grafen;;;;;;;;;;;;;Gemahlin des Grafen;;;;;;;;;;;;;
entity_0127;figur_0245;Freunde Charlottes;u;;x;x;group;;;;;;;;;;;;;Freunde Charlottes;;;;;;;;;;;;;;;;;;;;;;;;;;
entity_0128;figur_0246;Haushofmeister;m;;;;;;;;;;;;;;;;;Haushofmeister;;;;;;;;;;;;;;;;;;;;;;;;;;
entity_0129;figur_0247;Männer;m;;x;x;group;;;;;;;;;;;;;Männer;;;;;;;;;;;;;;;;;;;;;;;;;;
entity_0130;figur_0248;Unverheiratete;u;;x;x;group;;;;;;;;;;;;;Unverheiratete;;;;;;;;;;;;;;;;;;;;;;;;;;
entity_0131;figur_0249;Tochter der Freundin der Baronesse;f;;;;;;;;;;;;;;;;;Tochter der Freundin der Baronesse;;;;;;;;;;;;;;;;;;;;;;;;;;
