i	token	mention	gold
118819	häßlichen		
118820	Ort		
118821	langsam		
118822	durchritt		
118823	.		
118824	Er	13790	(mention_id=13988|references=(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)))
118825	gelangte		
118826	auf		
118827	einen		
118828	freien		
118829	Platz		
118830	in		
118831	der		
118832	Mitte		
118833	desselben		
118834	und		
118835	fand		
118836	einiges		
118837	Leben		
118838	hier		
118839	.		
118840	Eine		
118841	hölzerne		
118842	Bude		
118843	,		
118844	welche		
118845	sich		
118846	City-Hall		
118847	nannte		
118848	,		
118849	aber		
118850	vielmehr		
118851	einem		
118852	Wagenschuppen		
118853	glich		
118854	,		
118855	war		
118856	von		
118857	oben		
118858	bis		
118859	unten		
118860	mit		
118861	ellenlangen		
118862	Placaten		
118863	von		
118864	Buntpapier		
118865	beklebt		
118866	,		
118867	während		
118868	Fahnen		
118869	und		
118870	Standarten		
118871	in		
118872	allen		
118873	Farben		
118874	auf		
118875	langen		
118876	Stangen		
118877	in		
118878	der		
118879	Luft		
118880	flatterten		
118881	;		
118882	er	13791	(mention_id=13989|references=(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)))
118883	sah		
118884	den		
118885	Schauplatz		
118886	der		
118887	Landauction		
118888	.		
118889	Diesem		
118890	Hause		
118891	gegenüber		
118892	stand		
118893	ein		
118894	gothisches		
118895	Unding		
118896	,		
118897	die		
118898	Kathedrale		
118899	von		
118900	Neu-Lissabon		
118901	.		
118902	An		
118903	jedem		
118904	andern		
118905	Orte		
118906	hätte		
118907	das		
118908	barbarische		
118909	Machwerk		
118910	die		
118911	Sinne		
118912	beleidigt		
118913	,		
118914	in		
118915	der		
118916	Umgebung		
118917	der		
118918	elendesten		
118919	und		
118920	schmutzigsten		
118921	Hütten		
118922	aber		
118923	machte		
118924	es		
118925	immer		
118926	noch		
118927	Staat		
118928	.		
118929	Der		
118930	Raum		
118931	zwischen		
118932	diesen		
118933	beiden		
118934	öffentlichen		
118935	Gebäuden		
118936	,		
118937	welcher		
118938	je		
118939	nach		
118940	Umständen		
118941	eine		
118942	Pfütze		
118943	oder		
118944	eine		
118945	Staubwüste		
118946	war		
118947	,		
118948	in		
118949	beiden		
118950	Gestalten		
118951	aber		
118952	der		
118953	Square		
118954	von		
118955	Neu-Lissabon		
118956	hieß		
118957	,		
118958	diente		
118959	jetzt		
118960	einer		
118961	Menge		
118962	von		
118963	Zeltwagen		
118964	,		
118965	Marktbuden		
118966	und		
118967	sonstiger		
118968	fahrender		
118969	Zigeunerhabe		
118970	zum		
118971	Standorte		
118972	;		
118973	es		
118974	war		
118975	das		
118976	Feldlager		
118977	von		
118978	Zuzüglern	13792	(mention_id=13990|references=(entity=(entity_id=entity_0803|fullname=Zuzügler|gender=u|specialcase_entity=group)))
118979	,		
118980	welche	13793	(mention_id=13991|references=(entity=(entity_id=entity_0803|fullname=Zuzügler|gender=u|specialcase_entity=group)))
118981	die		
118982	Landauction		
118983	aus		
118984	näherer		
118985	oder		
118986	fernerer		
118987	Umgebung		
118988	herbeigelockt		
118989	hatte		
118990	.		
118991	Ein		
118992	speculirender		
118993	Irländer	13794	(mention_id=13992|references=(entity=(entity_id=entity_1918|fullname=Irländer|gender=m)))
118994	hatte		
118995	diese		
118996	Gelegenheit		
118997	benutzt		
118998	,		
118999	Geschäfte		
119000	in		
119001	ein		
119002	paar		
119003	Fässern		
119004	Fusel		
119005	zu		
119006	machen		
119007	,		
119008	welchen		
119009	er	13795	(mention_id=13993|references=(entity=(entity_id=entity_1918|fullname=Irländer|gender=m)))
119010	von		
119011	seinem	13796	(mention_id=13994|references=(entity=(entity_id=entity_1918|fullname=Irländer|gender=m)))
119012	Karren		
119013	herab		
119014	für		
119015	mint		
119016	julep		
119017	ausrief		
119018	;		
119019	ein		
119020	fliegender		
119021	Buchhändler	13797	(mention_id=13995|references=(entity=(entity_id=entity_0795|fullname=fliegender Buchhändler vor Auktion|gender=m)))
119022	neben		
119023	ihm	13798	(mention_id=13996|references=(entity=(entity_id=entity_0795|fullname=fliegender Buchhändler vor Auktion|gender=m)))
119024	verkaufte		
119025	den		
119026	Himmel		
119027	in		
119028	beliebiger		
119029	Auswahl		
119030	,		
119031	nämlich		
119032	Tractätlein		
119033	aller		
119034	möglichen		
119035	Glaubensbekenntnisse		
119036	.		
119037	Das		
119038	gläubige		
119039	und		
119040	ungläubige		
119041	Publikum	13799	(mention_id=13997|references=(entity=(entity_id=entity_0797|fullname=Publikum vor Auktion|gender=u|specialcase_entity=group)))
119042	tractirte		
119043	sich	13800	(mention_id=13998|references=(entity=(entity_id=entity_0797|fullname=Publikum vor Auktion|gender=u|specialcase_entity=group)))
119044	aber		
119045	mit		
119046	mehr		
119047	Vorliebe		
119048	in		
119049	einer		
119050	Trinkstube		
119051	,		
119052	auf		
119053	welche		
119054	Moorfeld	13801	(mention_id=13999|references=(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)))
119055	erst		
119056	aufmerksam		
119057	wurde		
119058	,		
119059	als		
119060	er	13802	(mention_id=14000|references=(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)))
119061	sich	13803	(mention_id=14001|references=(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)))
119062	überhaupt		
119063	um		
119064	Publikum	13804	(mention_id=14002|references=(entity=(entity_id=entity_0797|fullname=Publikum vor Auktion|gender=u|specialcase_entity=group)))
119065	umsah		
119066	und		
119067	verhältnißmäßig		
119068	wenig		
119069	am		
119070	Platze		
119071	fand		
119072	.		
119073	Er	13805	(mention_id=14003|references=(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)))
119074	entdeckte		
119075	bei		
119076	dieser		
119077	Gelegenheit		
119078	noch		
119079	ein		
119080	drittes		
119081	öffentliches		
119082	Gebäude		
119083	,		
119084	nämlich		
119085	ein		
119086	Croceryshop		
119087	mit		
119088	einem		
119089	Wirthshaus		
119090	verbunden		
119091	und		
119092	zwar		
119093	dicht		
119094	am		
119095	gothischen		
119096	Dome		
119097	,		
119098	dem		
119099	es		
119100	zur		
119101	Seite		
119102	stand		
119103	,		
119104	wie		
119105	ein		
119106	Ministrant	13806	
119107	seinem	13807	
119108	Priester	13808	
119109	.		
119110	Der		
119111	Kramladen		
119112	mochte		
119113	einst		
119114	besser		
119115	in		
119116	die		
119117	Augen		
119118	gefallen		
119119	sein		
119120	,		
119121	als		
119122	nämlich		
119123	die		
119124	Farben		
119125	der		
119126	colorirten		
119127	Lithographien		
119128	an		
119129	seinem		
119130	Schaufenster		
119131	noch		
119132	greller		
119133	erglänzten		
119134	.		
119135	Moorfeld	13809	(mention_id=14004|references=(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)))
119136	musterte		
119137	diese		
119138	Lithographien		
119139	und		
119140	fand		
119141	bunt		
119142	nebeneinander		
119143	den		
119144	Alpenübergang		
119145	Napoleon's	13810	(mention_id=14005|references=(entity=(entity_id=entity_0775|fullname=Napoleon|gender=m)))
119146	,		
119147	Mrs.	13811	(mention_id=14006|references=(entity=(entity_id=entity_0819|fullname=Mrs. Siddons|gender=f)))
119148	Siddons	13811	(mention_id=14006|references=(entity=(entity_id=entity_0819|fullname=Mrs. Siddons|gender=f)))
119149	als		
119150	Lady	13812	(mention_id=14007|references=(entity=(entity_id=entity_0822|fullname=Lady Macbeth|gender=f)))
119151	Macbeth	13812	(mention_id=14007|references=(entity=(entity_id=entity_0822|fullname=Lady Macbeth|gender=f)))
119152	,		
119153	das		
119154	Rennpferd		
119155	Eclipse	13813	
119156	,		
119157	einen		
119158	Faustkampf		
119159	zwischen		
119160	John	13814	(mention_id=14008|references=(entity=(entity_id=entity_0813|fullname=John Bull|gender=m)))
119161	Bull	13814	(mention_id=14008|references=(entity=(entity_id=entity_0813|fullname=John Bull|gender=m)))
119162	und		
119163	Bruder	13815	(mention_id=14009|references=(entity=(entity_id=entity_0675|fullname=Bruder Jonathan|gender=m)))
119164	Jonathan	13815	(mention_id=14009|references=(entity=(entity_id=entity_0675|fullname=Bruder Jonathan|gender=m)))
119165	,		
119166	die		
119167	Rückkehr		
119168	des		
119169	Geliebten	13816	(mention_id=14010|references=(entity=(entity_id=entity_0814|fullname=Geliebter|gender=m)))
119170	,		
119171	Roth	13817	
119172	jacke	13817	
119173	im		
119174	indianischen		
119175	Costüm		
119176	,		
119177	Edmund	13818	(mention_id=14011|references=(entity=(entity_id=entity_0811|fullname=Edmund Kean|gender=m)))
119178	Kean	13818	(mention_id=14011|references=(entity=(entity_id=entity_0811|fullname=Edmund Kean|gender=m)))
119179	als		
119180	König	13819	(mention_id=14012|references=(entity=(entity_id=entity_0818|fullname=König Lear|gender=m)))
119181	Lear	13819	(mention_id=14012|references=(entity=(entity_id=entity_0818|fullname=König Lear|gender=m)))
119182	,		
119183	die		
119184	Schlacht		
119185	bei		
119186	Bunkershill		
119187	,		
119188	eine		
119189	Newyorker		
119190	Regatta		
119191	,		
119192	General	13820	(mention_id=14013|references=(entity=(entity_id=entity_0082|fullname=George Washington|gender=m)))
119193	Washington	13820	(mention_id=14013|references=(entity=(entity_id=entity_0082|fullname=George Washington|gender=m)))
119194	,		
119195	Lord	13821	(mention_id=14014|references=(entity=(entity_id=entity_0816|fullname=Lord Nelson|gender=m)))
119196	Nelson	13821	(mention_id=14014|references=(entity=(entity_id=entity_0816|fullname=Lord Nelson|gender=m)))
119197	,		
119198	das		
119199	Fegefeuer		
119200	u.		
119201	a.		
119202	Ueber		
119203	all		
119204	diese		
119205	Blätter		
119206	hatte		
119207	sich		
119208	eine		
119209	Unzahl		
119210	von		
119211	Fliegen	13822	
119212	verbreitet		
119213	mit		
119214	überreichlicher		
119215	Hinterlassung		
119216	ihrer		
119217	wohlbekannten		
119218	Spuren		
119219	.		
119220	Die		
119221	Spelunke		
119222	erreichte		
119223	daher		
119224	durch		
119225	ihr		
119226	Schaufenster		
119227	so		
119228	ziemlich		
119229	das		
119230	Gegentheil		
119231	der		
119232	beabsichtigten		
119233	Anziehungskraft		
119234	;		
119235	da		
119236	überdies		
119237	die		
119238	Trinkstube		
119239	nebenan		
119240	Rauchwolken		
119241	des		
119242	schlechtesten		
119243	Tabaks		
119244	vermischt		
119245	mit		
119246	den		
119247	Pestdünsten		
119248	abscheulicher		
119249	Getränkesorten		
119250	durch		
119251	alle		
119252	Fugen		
119253	und		
119254	Ritzen		
119255	ausschwitzte		
119256	,		
119257	so		
119258	fand		
119259	sich	13823	(mention_id=14015|references=(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)))
119260	Moorfeld	13824	(mention_id=14016|references=(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)))
119261	wenig		
119262	eingeladen		
119263	,		
119264	das		
119265	wirthliche		
119266	Dach		
119267	dieses		
119268	Hauses		
119269	zu		
119270	beschreiten		
119271	.		
119272	Nur		
119273	sein	13825	(mention_id=14017|references=(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)))
119274	Pferd		
119275	stellte		
119276	er	13826	(mention_id=14018|references=(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)))
119277	hier		
119278	ein		
119279	;		
119280	seine	13827	(mention_id=14019|references=(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)))
119281	Person	13828	(mention_id=14020|references=(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)))
119282	,		
119283	die	13829	(mention_id=14021|references=(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)))
119284	,		
119285	wie		
119286	er	13830	(mention_id=14022|references=(entity=(entity_id=entity_0001|fullname=Dr. Moorfeld|gender=m)))
119287	aus		
119288	hinlänglicher		
119289	Erfahrung		
119290	wußte		
