i	text	is_section_start	gold
267	auf	0	
268	.	0	
269	Ohne	0	
270	zu	0	
271	wissen	0	
272	,	0	
273	was	0	
274	mir	0	(mention_id=44|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
275	fehlte	0	
276	,	0	
277	fing	0	
278	ich	0	(mention_id=45|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
279	an	0	
280	eine	0	
281	Leere	0	
282	,	0	
283	eine	0	
284	Unruhe	0	
285	,	0	
286	eine	0	
287	Sehnsucht	0	
288	zu	0	
289	fühlen	0	
290	,	0	
291	die	0	
292	mich	0	(mention_id=46|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
293	unglücklich	0	
294	machte	0	
295	.	0	
296	Alle	0	
297	meine	0	(mention_id=47|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
298	vorigen	0	
299	Beschäftigungen	0	
300	,	0	
301	alle	0	
302	meine	0	(mention_id=48|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
303	bisherigen	0	
304	Vergnügungen	0	
305	konnten	0	
306	mich	0	(mention_id=49|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
307	nicht	0	
308	mehr	0	
309	befriedigen	0	
310	.	0	
311	Alle	0	
312	meine	0	(mention_id=50|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
313	Gedanken	0	
314	und	0	
315	Empfindungen	0	
316	schienen	0	
317	einem	0	
318	geheimnißvollen	0	
319	Ziele	0	
320	zuzufliegen	0	
321	,	0	
322	und	0	
323	alle	0	
324	Pulse	0	
325	meines	0	(mention_id=51|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
326	Körpers	0	
327	klopften	0	
328	demselben	0	
329	mit	0	
330	Ungeduld	0	
331	entgegen	0	
332	.	0	
333	Plötzlich	0	
334	fingen	0	
335	die	0	
336	Weiber	0	(mention_id=52|references=(entity=(entity_id=generic_0011|fullname=generic_0011|gender=u|specialcase_entity=generic)))
337	an	0	
338	mir	0	(mention_id=53|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
339	interessant	0	
340	zu	0	
341	werden	0	
342	,	0	
343	und	0	
344	es	0	
345	bedurfte	0	
346	nur	0	
347	eines	0	
348	Gegenstandes	0	
349	,	0	
350	um	0	
351	diese	0	
352	unbestimmte	0	
353	Neigung	0	
354	zu	0	
355	entwickeln	0	
356	.	0	
357	Zweytes	0	
358	Kapitel	0	
359	Der	0	
360	glückliche	0	
361	Zeitpunkt	0	
362	war	0	
363	näher	0	
364	,	0	
365	als	0	
366	ich	0	(mention_id=54|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
367	dachte	0	
368	.	0	
369	Eine	0	
370	halbe	0	
371	Stunde	0	
372	von	0	
373	unserm	0	(mention_id=55|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)),(entity=(entity_id=entity_0006|fullname=Gustavs Tante|gender=f)))
374	Guthe	0	
375	lag	0	
376	ein	0	
377	Städtchen	0	
378	,	0	
379	das	0	
380	von	0	
381	jeher	0	
382	sehr	0	
383	viel	0	
384	Anziehendes	0	
385	für	0	
386	mich	0	(mention_id=56|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
387	gehabt	0	
388	hatte	0	
389	.	0	
390	Oft	0	
391	fand	0	
392	ich	0	(mention_id=57|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
393	mich	0	(mention_id=58|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
394	mitten	0	
395	zwischen	0	
396	den	0	
397	kleinen	0	
398	reinlichen	0	
399	Häusern	0	
400	,	0	
401	ohne	0	
402	zu	0	
403	wissen	0	
404	,	0	
405	wie	0	
406	ich	0	(mention_id=59|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
407	dahin	0	
408	gekommen	0	
409	war	0	
410	.	0	
411	Träumend	0	
412	ging	0	
413	ich	0	(mention_id=60|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
414	dann	0	
415	in	0	
416	den	0	
417	Gasthof	0	
418	,	0	
419	ließ	0	
420	mein	0	(mention_id=61|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
421	Essen	0	
422	unter	0	
423	die	0	
424	große	0	
425	Linde	0	
426	bringen	0	
427	,	0	
428	und	0	
429	bezahlte	0	
430	der	0	
431	dicken	0	
432	Wirthin	0	(mention_id=62|references=(entity=(entity_id=entity_0007|fullname=Wirtin|gender=f)))
433	gern	0	
434	die	0	
435	doppelte	0	
436	Zeche	0	
437	;	0	
438	wenn	0	
439	sie	0	(mention_id=63|references=(entity=(entity_id=entity_0007|fullname=Wirtin|gender=f)))
440	mir	0	(mention_id=64|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
441	nur	0	
442	erlaubte	0	
443	,	0	
444	so	0	
445	wenig	0	
446	als	0	
447	möglich	0	
448	auf	0	
449	ihr	0	(mention_id=65|references=(entity=(entity_id=entity_0007|fullname=Wirtin|gender=f)))
450	Geschwätz	0	
451	zu	0	
452	antworten	0	
453	.	0	
454	Nein	0	
455	,	0	
456	man	0	
457	sage	0	
458	,	0	
459	was	0	
460	man	0	
461	wolle	0	
462	!	0	
463	es	0	
464	giebt	0	
465	Ahnungen	0	
466	.	0	
467	–	0	
468	Unter	0	
469	dieser	0	
470	Linde	0	
471	....	0	
472	doch	0	
473	welch	0	
474	eine	0	
475	Ausschweifung	0	
476	!	0	
477	Zurück	0	
478	:	0	
479	zu	0	
480	dem	0	
481	schönsten	0	
482	Abende	0	
483	meines	0	(mention_id=66|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
484	Lebens	0	
485	!	0	
486	Es	0	
487	war	0	
488	ein	0	
489	Mayabend	0	
490	.	0	
491	Ich	0	(mention_id=67|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
492	drängte	0	
493	mich	0	(mention_id=68|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
494	mit	0	
495	meinem	0	(mention_id=69|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
496	Pferde	0	
497	durch	0	
498	duftende	0	
499	Hecken	0	
500	,	0	
501	und	0	
502	jeder	0	
503	Athemzug	0	
504	vermehrte	0	
505	die	0	
506	Lebensfülle	0	
507	,	0	
508	die	0	
509	meine	0	(mention_id=70|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
510	Brust	0	
511	mit	0	
512	schmerzhaftem	0	
513	Entzücken	0	
514	hob	0	
515	.	0	
516	Achtzehn	0	
517	Jahre	0	
518	und	0	
519	der	0	
520	May	0	
521	!	0	
522	–	0	
523	was	0	
524	brauche	0	
525	ich	0	(mention_id=71|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
526	mehr	0	
527	zu	0	
528	sagen	0	
529	?	0	
530	–	0	
531	–	0	
532	Schon	0	
533	erblickte	0	
534	ich	0	(mention_id=72|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
535	die	0	
536	Linde	0	
537	;	0	
538	aber	0	
539	es	0	
540	war	0	
541	nicht	0	
542	mehr	0	
543	die	0	
544	sehnsüchtige	0	
545	Träumerey	0	
546	,	0	
547	die	0	
548	mich	0	(mention_id=73|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
549	vormals	0	
550	bey	0	
551	ihrem	0	
552	Anblicke	0	
553	ergriff	0	
554	.	0	
555	Ich	0	(mention_id=74|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
556	zitterte	0	
557	vor	0	
558	brennender	0	
559	Ungeduld	0	
560	,	0	
561	und	0	
562	sprengte	0	
563	mit	0	
564	dem	0	
565	heftigsten	0	
566	Galloppe	0	
567	in	0	
568	den	0	
569	Gasthof	0	
570	hinein	0	
571	.	0	
572	Da	0	
573	flohen	0	
574	zwey	0	
575	weiße	0	
576	Gestalten	0	(mention_id=75|references=(entity=(entity_id=entity_0003|fullname=Marie|gender=f)),(entity=(entity_id=entity_0005|fullname=Maries Mutter|gender=f)))
577	vor	0	
578	mir	0	(mention_id=76|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
579	auf	0	
580	die	0	
581	Wiese	0	
582	.	0	
583	Die	0	
584	letzte	0	(mention_id=77|references=(entity=(entity_id=entity_0003|fullname=Marie|gender=f)))
585	schlug	0	
586	die	0	
587	kleine	0	
588	Gatterthüre	0	
589	schnell	0	
590	hinter	0	
591	sich	0	(mention_id=78|references=(entity=(entity_id=entity_0003|fullname=Marie|gender=f)))
592	zu	0	
593	–	0	
594	aber	0	
595	wie	0	
596	glücklich	0	
597	!	0	
598	ihr	0	(mention_id=79|references=(entity=(entity_id=entity_0003|fullname=Marie|gender=f)))
599	Kleid	0	
600	ward	0	
601	von	0	
602	der	0	
603	Thüre	0	
604	festgehalten	0	
605	.	0	
606	»	0	
607	Ach	0	
608	!	0	
609	«	0	
610	rief	0	
611	sie	0	(mention_id=80|references=(entity=(entity_id=entity_0003|fullname=Marie|gender=f)))
612	–	0	
613	und	0	
614	ein	0	
615	Engelgesicht	0	
616	strahlte	0	
617	mir	0	(mention_id=81|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
618	entgegen	0	
619	.	0	
620	»	0	
621	Ach	0	
622	!	0	
623	«	0	
624	–	0	
625	rief	0	
626	ich	0	(mention_id=82|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
627	–	0	
628	und	0	
629	der	0	
630	Zügel	0	
631	sank	0	
632	mir	0	(mention_id=83|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
633	aus	0	
634	der	0	
635	Hand	0	
636	.	0	
637	Ich	0	(mention_id=84|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
638	vergaß	0	
639	ihr	0	(mention_id=85|references=(entity=(entity_id=entity_0003|fullname=Marie|gender=f)))
640	zu	0	
641	helfen	0	
642	,	0	
643	und	0	
644	sie	0	(mention_id=86|references=(entity=(entity_id=entity_0003|fullname=Marie|gender=f)))
645	vergaß	0	
646	ihr	0	(mention_id=87|references=(entity=(entity_id=entity_0003|fullname=Marie|gender=f)))
647	Kleid	0	
648	,	0	
649	vergaß	0	
650	,	0	
651	daß	0	
652	sie	0	(mention_id=88|references=(entity=(entity_id=entity_0003|fullname=Marie|gender=f)))
653	fliehen	0	
654	wollte	0	
655	.	0	
656	–	0	
657	Endlich	0	
658	erwachte	0	
659	ich	0	(mention_id=89|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
660	,	0	
661	sprang	0	
662	vom	0	
663	Pferde	0	
664	und	0	
665	eilte	0	
666	die	0	
667	Thür	0	
668	zu	0	
669	öffnen	0	
670	.	0	
671	Sie	0	(mention_id=90|references=(entity=(entity_id=entity_0003|fullname=Marie|gender=f)))
672	stammelte	0	
673	etwas	0	
674	von	0	
675	Dank	0	
676	und	0	
677	erröthete	0	
678	.	0	
679	Ohne	0	
680	zu	0	
681	wissen	0	
682	,	0	
683	was	0	
684	ich	0	(mention_id=91|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
685	that	0	
686	,	0	
687	drückte	0	
688	ich	0	(mention_id=92|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
689	einen	0	
690	brennenden	0	
691	Kuß	0	
692	auf	0	
693	das	0	
694	Kleid	0	
695	,	0	
696	aber	0	
697	plötzlich	0	
698	fühlte	0	
699	ich	0	(mention_id=93|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
700	es	0	
701	von	0	
702	meinen	0	(mention_id=94|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
703	Lipven	0	
704	entfliehen	0	
705	,	0	
706	und	0	
707	als	0	
708	ich	0	(mention_id=95|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
709	wieder	0	
710	aufblickte	0	
711	,	0	
712	war	0	
713	auch	0	
714	sie	0	(mention_id=96|references=(entity=(entity_id=entity_0003|fullname=Marie|gender=f)))
715	verschwunden	0	
716	.	0	
717	Drittes	0	
718	Kapitel	0	
719	»	0	
720	Wo	0	
721	bleibst	0	
722	du	0	(mention_id=97|references=(entity=(entity_id=entity_0003|fullname=Marie|gender=f)))
723	denn	0	
724	Marie	0	(mention_id=98|references=(entity=(entity_id=entity_0003|fullname=Marie|gender=f)))
725	?	0	
726	«	0	
727	–	0	
728	rief	0	
729	eine	0	
730	Stimme	0	(mention_id=99|references=(entity=(entity_id=entity_0005|fullname=Maries Mutter|gender=f)|specialcase_reference=part))
731	hinter	0	
732	der	0	
733	Laube	0	
734	–	0	
735	»	0	
736	Marie	0	
737	!	0	
738	«	0	
739	–	0	
740	wiederholte	0	
741	ich	0	(mention_id=100|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
742	–	0	
743	und	0	
744	streckte	0	
745	meine	0	(mention_id=101|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
746	Arme	0	
747	sehnsuchtsvoll	0	
748	nach	0	
749	der	0	
750	Laube	0	
751	aus	0	
752	.	0	
753	Aber	0	
754	wie	0	
755	?	0	
756	sah	0	
757	,	0	
758	hörte	0	
759	mich	0	(mention_id=102|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
760	auch	0	
761	jemand	0	
762	?	0	
763	–	0	
764	der	0	
765	Gedanke	0	
766	trieb	0	
767	mir	0	(mention_id=103|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
768	alles	0	
769	Blut	0	
770	in	0	
771	die	0	
772	Wangen	0	
773	,	0	
774	ich	0	(mention_id=104|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
775	hatte	0	
776	nicht	0	
777	den	0	
778	Muth	0	
779	der	0	
780	Stimme	0	(mention_id=105|references=(entity=(entity_id=entity_0005|fullname=Maries Mutter|gender=f)|specialcase_reference=part))
781	zu	0	
782	folgen	0	
783	,	0	
784	und	0	
785	schlich	0	
786	träumend	0	
787	zu	0	
788	meiner	0	(mention_id=106|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
789	Linde	0	
790	zurück	0	
791	.	0	
792	Die	0	
793	dicke	0	
794	Wirthin	0	(mention_id=107|references=(entity=(entity_id=entity_0007|fullname=Wirtin|gender=f)))
795	hatte	0	
796	mich	0	(mention_id=108|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
797	schon	0	
798	erwartet	0	
799	und	0	
800	kreischte	0	
801	mir	0	(mention_id=109|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
802	nun	0	
803	zärtliche	0	
804	Vorwürfe	0	
805	wegen	0	
806	meines	0	(mention_id=110|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
807	schnellen	0	
808	Reitens	0	
809	entgegen	0	
810	.	0	
811	Aber	0	
812	ob	0	
813	ich	0	(mention_id=111|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
814	mich	0	(mention_id=112|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
815	gleich	0	
816	dem	0	
817	Streicheln	0	
818	ihrer	0	(mention_id=113|references=(entity=(entity_id=entity_0007|fullname=Wirtin|gender=f)))
819	unsaubern	0	
820	Hände	0	
821	Preis	0	
822	gab	0	
823	;	0	
824	so	0	
825	konnte	0	
826	ich	0	(mention_id=114|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
827	doch	0	
828	keine	0	
829	befriedigende	0	
830	Nachricht	0	
831	wegen	0	
832	der	0	
833	Frauenzimmer	0	(mention_id=115|references=(entity=(entity_id=entity_0003|fullname=Marie|gender=f)),(entity=(entity_id=entity_0005|fullname=Maries Mutter|gender=f)))
834	von	0	
835	ihr	0	(mention_id=116|references=(entity=(entity_id=entity_0007|fullname=Wirtin|gender=f)))
836	erhalten	0	
837	.	0	
838	Im	0	
839	Gegentheil	0	
840	klagte	0	
841	sie	0	(mention_id=117|references=(entity=(entity_id=entity_0007|fullname=Wirtin|gender=f)))
842	sehr	0	
843	bitter	0	
844	über	0	
845	ihr	0	(mention_id=118|references=(entity=(entity_id=entity_0003|fullname=Marie|gender=f)),(entity=(entity_id=entity_0005|fullname=Maries Mutter|gender=f)))
846	geheimnißvolles	0	
847	Wesen	0	
848	,	0	
849	und	0	
850	meinte	0	
851	:	0	
852	es	0	
853	müsse	0	
854	–	0	
855	da	0	
856	sie	0	(mention_id=119|references=(entity=(entity_id=entity_0005|fullname=Maries Mutter|gender=f)),(entity=(entity_id=entity_0003|fullname=Marie|gender=f)))
857	eine	0	
858	Wohnung	0	
859	auf	0	
860	dem	0	
861	Lande	0	
862	suchten	0	
863	–	0	
864	mit	0	
865	ihrem	0	(mention_id=120|references=(entity=(entity_id=entity_0005|fullname=Maries Mutter|gender=f)),(entity=(entity_id=entity_0003|fullname=Marie|gender=f)))
866	Stande	0	
867	wohl	0	
868	nicht	0	
869	viel	0	
870	zu	0	
871	bedeuten	0	
872	haben	0	
873	.	0	
874	–	0	
875	»	0	
876	Auf	0	
877	dem	0	
878	Lande	0	
879	!	0	
880	«	0	
881	–	0	
882	wiederholte	0	
883	ich	0	(mention_id=121|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
884	,	0	
885	und	0	
886	plötzlich	0	
887	keimte	0	
888	in	0	
889	meinem	0	(mention_id=122|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
890	Herzen	0	
891	die	0	
892	Hoffnung	0	
893	auf	0	
894	.	0	
895	Entzückt	0	
896	überließ	0	
897	ich	0	(mention_id=123|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
898	mich	0	(mention_id=124|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
899	diesem	0	
900	Gedanken	0	
901	,	0	
902	und	0	
903	hörte	0	
904	nicht	0	
905	mehr	0	
906	auf	0	
907	das	0	
908	Geschwätz	0	
909	der	0	
910	Wirthin	0	(mention_id=125|references=(entity=(entity_id=entity_0007|fullname=Wirtin|gender=f)))
911	.	0	
912	Sie	0	(mention_id=126|references=(entity=(entity_id=entity_0007|fullname=Wirtin|gender=f)))
913	begriff	0	
914	endlich	0	
915	,	0	
916	daß	0	
917	sie	0	(mention_id=127|references=(entity=(entity_id=entity_0007|fullname=Wirtin|gender=f)))
918	keine	0	
919	Antwort	0	
920	mehr	0	
921	von	0	
922	mir	0	(mention_id=128|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
923	erwarten	0	
924	konnte	0	
925	,	0	
926	und	0	
927	ließ	0	
928	mich	0	(mention_id=129|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
929	nun	0	
930	mit	0	
931	meinen	0	(mention_id=130|references=(entity=(entity_id=entity_0002|fullname=Gustav von S.|gender=m)))
