i	orig
415	Darf
416	ich
417	dieser
418	Legende
419	nicht
420	hier
421	gedenken
422	am
423	Bord
424	meines
425	Auswandererschiffes
426	?
427	Der
428	große
429	Christoph
430	sind
431	wir
432	,
433	die
434	alte
435	Weltgeschichte
436	;
437	auf
438	unsern
439	Schultern
440	stehst
441	du
442	,
443	Amerika
444	,
445	das
446	wir
447	in
448	kleinsten
449	Anfängen
450	über
451	die
452	atlantische
453	Wassergränze
454	trugen
455	;
456	aber
457	wundergleich
458	überflügelt
459	uns
460	dein
461	Gewicht
462	,
463	und
464	wahrlich
465	!
466	du
467	bist
468	der
469	Heiland
470	,
471	der
472	uns
473	einst
474	Alle
475	erlösen
476	wird
477	!
478	Glückzu
479	,
480	daß
481	du
482	nicht
483	zu
484	sterben
485	brauchst
486	für
487	uns
488	,
489	daß
490	du
491	leben
492	wirst
493	,
494	leben
495	,
496	und
497	nichts
498	als
499	leben
500	!
501	Zurück
502	ihr
503	Tragiker
504	,
505	die
506	ihr
507	den
508	Angstschweiß
509	,
510	die
511	Thränen
512	,
513	das
514	Blut
515	von
516	hingerichteten
517	Weltideen
518	in
519	den
520	goldnen
521	Schalen
522	eurer
523	Verse
524	sammelt
525	;
526	hier
527	füllen
528	sich
529	nicht
530	eure
531	Schalen
532	.
533	Nach
534	Asien
535	geht
536	,
537	nach
538	Europa
539	!
540	Dort
541	spricht
542	man
543	den
544	Besten
545	und
546	Tugendhaftesten
547	die
548	Todesstrafe
549	zu
550	;
551	—
552	hier
553	werden
554	sie
555	zu
556	Präsidenten
557	erwählt
558	!
559	“
560	—
561	„
562	Amerika
563	ist
564	ein
565	Bau
566	,
567	bei
568	welchem
569	die
570	menschliche
571	Vernunft
572	zum
573	erstenmale
574	das
575	Gesetz
576	der
577	Schwere
578	fand
579	.
580	Die
581	Staatsgebäude
582	der
583	alten
584	Welt
585	fingen
586	mit
587	der
588	Kuppel
589	an
590	.
591	Der
592	König
593	und
594	der
595	Hohepriester
596	wölbten
597	vor
598	Allem
599	das
600	unermeßliche
601	Dach
602	.
603	Dann
604	kamen
605	die
606	Vasallen
607	,
608	die
609	Ritter
610	und
611	Krieger
612	und
613	stellten
614	ihre
615	Säulen
616	darunter
617	.
618	Unter
619	die
620	Säulen
621	setzte
622	das
623	Bürgerthum
624	seine
625	Sockel
626	.
627	Vom
628	Sockel
629	abwärts
630	endete
631	das
632	Gebäude
633	.
634	Die
635	Sudras
636	,
637	die
638	Pariahs
639	,
640	die
641	Fellahs
642	,
643	die
644	leibeigenen
645	Bauern
646	,
647	—
648	sie
649	waren
650	ein
651	verwahrloster
652	Untergrund
653	.
654	Die
655	Baukunst
656	that
657	nichts
658	für
659	ihren
660	Bestand
661	,
662	sie
663	erlaubte
664	blos
665	ihr
666	natürliches
667	Dasein
668	.
669	Das
670	Fundament
671	war
672	geduldet
673	.
674	Trug
675	es
676	den
677	schweren
678	überladenen
679	Bau
680	,
681	so
682	that
683	es
684	das
685	Glück
686	;
687	trug
688	es
689	ihn
690	nicht
691	,
692	so
693	sank
694	er
695	langsam
696	mit
697	dem
698	zerquetschten
699	Volksleben
700	in
701	die
702	Erde
703	,
704	wie
705	Asiens
706	Despotien
707	,
708	oder
709	er
710	riß
711	gewaltsam
712	in
713	Trümmer
714	unter
715	den
716	Revolutionen
717	Europa'
718	s.
719	Weises
720	Amerika
721	,
722	das
723	mit
724	dem
725	Anfange
726	anfing
727	!
728	“
729	„
730	So
731	werd'
732	ich
733	bewohnen
734	ein
735	festes
736	,
737	wohlgezimmertes
738	Haus
739	,
740	ein
741	Haus
742	gebaut
743	auf
744	die
745	erste
746	aller
747	Wissenschaften
748	,
749	auf
750	die
751	Wissenschaft
752	vom
753	Volke
754	.
755	Marquis
756	Posa
757	sans
758	phrase
759	ist
760	der
761	Hausherr
762	darin
763	.
764	Ich
765	trete
766	ein
767	,
768	und
769	umarme
770	staunend
771	und
772	schauernd
773	den
774	erschossenen
775	Freund
776	.
777	Er
778	lächelt
779	.
780	Verwundere
781	dich
782	nicht
783	,
784	Bruder
785	,
786	mich
787	hier
788	im
789	Gedeihen
790	zu
791	finden
792	.
793	Du
794	wußtest
795	ja
796	,
797	ich
798	bin
799	unsterblich
800	.
801	Die
802	Königswunde
803	hier
804	—
805	traumhaft
806	fährt
807	er
808	sich
809	an
810	die
811	Stirne
812	—
813	siehe
814	,
815	sie
816	ist
817	glücklich
818	vernarbt
819	.
820	Ach
821	,
822	es
823	war
824	ein
825	beschränktes
826	Jahrhundert
827	!
828	Lächeln
829	wir
830	,
831	Freund
832	,
833	über
834	seine
835	Irrthümer
836	.
837	Damals
838	versagte
839	man
840	der
841	Humanität
842	eine
843	kleine
844	Anstellung
845	in
846	Holland
847	,
848	heute
849	schwingt
850	sie
851	ihr
852	Scepter
853	über
854	einen
855	Raum
856	,
857	den
858	Flandern
859	und
860	Brabant
861	hundertmal
862	einnehmen
863	könnten
864	und
865	mancher
866	Acre
867	erübrigte
868	noch
869	zu
870	einem
871	irrenärztlichen
872	Latifundium
873	für
874	den
875	Madrider
876	Staatsrath
877	.
878	Nicht
879	wahr
880	,
881	das
882	Menschenthum
883	schreitet
884	doch
885	vorwärts
886	,
887	und
888	die
889	Könige
890	sind
891	—
892	das
893	Menschenthum
894	schreitet
895	doch
896	vorwärts
897	,
898	und
899	die
900	Könige
901	sind
902	—
903	sonderbare
904	Schwärmer
905	!
906	Hier
907	zuckt
908	man
909	die
910	Achseln
911	über
912	die
913	Ausführbarkeit
914	ihrer
915	Träume
916	und
917	auf
918	dem
919	Capitol
920	zu
921	Washington
922	findet
923	man
924	nichts
925	praktisch
926	,
927	als
928	unsre
929	Ideale
930	.
931	—
932	Sei
933	mir
934	willkommen
935	,
936	Freund
937	,
938	sei
939	mir
940	willkommen
941	!
942	“
943	—
944	Also
945	wurde
946	die
947	Küste
948	von
949	Amerika
950	begrüßt
951	.
952	Ein
953	Mann
954	von
955	jugendlichem
956	Alter
957	steht
958	auf
959	dem
960	Vordertheil
961	seines
962	Schiffes
963	und
964	schaut
965	mit
966	verschränkten
967	Armen
968	und
969	begeistertem
970	Blicke
971	sein
972	großes
973	Gegenüber
974	:
975	die
976	neue
977	Welt
978	.
979	In
980	seinem
981	Hymnus
982	steht
983	seine
984	Gestalt
985	vor
986	uns
987	,
988	kaum
989	brauchten
990	wir
991	die
992	leibliche
993	zu
994	betrachten
995	.
996	Aber
997	auch
998	diese
999	drückt
1000	eine
1001	edle
1002	,
1003	schwungvolle
1004	Persönlichkeit
1005	aus
1006	.
1007	Auf
1008	seine
1009	Stirn
1010	haben
1011	die
1012	Götter
1013	das
1014	Siegel
1015	des
1016	Gedankens
1017	gedrückt
1018	,
1019	sein
1020	Mienenspiel
1021	ist
1022	eine
1023	Lyra
1024	,
1025	mit
1026	vollen
1027	,
1028	herztiefen
1029	Empfindungen
1030	besaitet
1031	.
1032	Sein
1033	Wuchs
1034	,
1035	mit
1036	Winkelmann
1037	zu
1038	reden
1039	,
1040	sein
1041	Stamm
1042	ist
1043	fein
1044	,
1045	wir
1046	möchten
1047	sagen
1048	artistisch
1049	gebaut
1050	.
1051	Ein
1052	künstlerischer
1053	Wurf
1054	geht
1055	auch
1056	durch
1057	seine
1058	Bekleidung
1059	.
1060	Sie
1061	hat
1062	nichts
1063	zu
1064	thun
1065	mit
1066	dem
1067	entsagenden
1068	Negligé
1069	des
1070	abstract
1071	Gebildeten
1072	.
1073	Sie
1074	verräth
1075	Formensinn
1076	.
1077	Sie
1078	stellt
1079	eine
1080	Persönlichkeit
1081	dar
1082	,
1083	welche
1084	über
1085	die
1086	Identität
1087	von
1088	Gestalt
1089	und
1090	Gehalt
1091	durch
1092	ein
1093	natürliches
1094	Gefühl
1095	,
1096	durch
1097	eine
1098	angeborene
1099	Poesie
1100	belehrt
1101	ist
1102	.
1103	Der
1104	Segler
1105	passirt
1106	die
1107	Narrows
1108	,
1109	die
1110	Meerenge
1111	zwischen
1112	Long
1113	Island
1114	und
1115	Staten-Island
1116	.
1117	Links
1118	und
1119	rechts
1120	gezogene
1121	Hügel
1122	,
1123	Wald
1124	kronen
1125	,
1126	Wiesenteppiche
1127	,
1128	darüber
1129	verstreut
1130	,
1131	von
1132	der
1133	Hütte
1134	bis
1135	zum
1136	Palast
1137	,
1138	ein
1139	Füllhorn
1140	menschlicher
1141	Wohnungen
1142	.
1143	Im
1144	Prospect
1145	die
1146	prächtige
1147	Bai
1148	von
1149	Newyork
1150	,
1151	sie
1152	,
1153	die
1154	sämmtliche
1155	Kriegsflotten
1156	der
1157	Erde
1158	aufnehmen
1159	könnte
1160	,
1161	im
1162	Tiefgrunde
1163	die
1164	Stadt
1165	selbst
1166	.
1167	Das
1168	Masten
1169	Gepfähl
1170	und
1171	Tau-Gestrick
1172	ihres
1173	Hafens
1174	garnirt
1175	sie
1176	,
1177	aus
1178	dieser
1179	Ferne
1180	gesehen
1181	,
1182	wie
1183	das
1184	zarteste
1185	Spitzengewebe
1186	;
1187	kaum
1188	schimmert
1189	der
1190	Teint
1191	ihres
1192	weißen
1193	,
1194	holländischen
1195	Häuseranstrichs
1196	durch
1197	.
1198	Am
1199	Borde
1200	streitet
1201	man
1202	sich
1203	,
1204	ob
1205	diese
1206	Einfahrt
1207	wirklich
1208	Aehnlichkeit
1209	mit
1210	Neapel
1211	habe
1212	oder
1213	nicht
1214	.
1215	Der
1216	hohläugige
1217	Seekranke
1218	behauptet's
1219	mit
1220	freuderothem
1221	Auferstehungs-Jubel
1222	,
1223	der
1224	vielgereiste
1225	Tourist
1226	zuckt
1227	die
1228	abgehärtete
1229	Kenner
1230	Achsel
1231	.
1232	Dem
1233	Dritten
1234	liegt
1235	die
1236	Stadt
1237	zu
1238	eben
1239	,
1240	sie
1241	hat
1242	kein
1243	Relief
1244	.
1245	Der
1246	Vierte
1247	stellt
1248	auch
1249	Hoboken
1250	und
1251	Brooklyn
1252	in
1253	ihren
1254	Rahmen
1255	und
1256	jenes
1257	zieht
1258	den
1259	blauen
1260	Hügelkranz
1261	von
1262	Neu-Jersey
1263	,
1264	dieses
1265	die
1266	bewaldeten
1267	Bergwände
1268	Long-Islands
1269	mit
1270	in
1271	das
1272	Bild
1273	.
1274	Ein
1275	Anderer
1276	verschiebt
1277	Berg
1278	und
1279	Wald
1280	,
1281	setzt
1282	sie
1283	hieher
1284	und
1285	dorthin
1286	und
1287	gewinnt
1288	ihnen
1289	schöpferisch
1290	einen
1291	Vesuv
1292	ab
1293	.
1294	Unser
1295	Hochwächter
1296	im
1297	Vorder-Castell
1298	wendet
1299	sich
1300	um
1301	und
1302	spricht
1303	über
1304	das
1305	Verdeck
1306	hin
1307	:
1308	Meine
1309	Herren
1310	,
1311	wenn
1312	es
1313	heißt
1314	:
1315	Neapel
1316	sehen
1317	und
1318	sterben
1319	,
1320	so
1321	wollen
1322	wir
1323	sagen
1324	:
1325	Newyork
1326	sehen
1327	und
1328	leben
1329	!
1330	das
1331	ist
1332	Gleichartiges
1333	und
1334	Verschiedenes
1335	.
1336	Beifallszuruf
1337	folgt
1338	dem
1339	Wortspiele
1340	des
1341	Mittlers
1342	;
1343	dieser
1344	vereinsamt
1345	sich
1346	wieder
1347	und
1348	legt
1349	sein
1350	Auge
1351	betrachtungsvoll
1352	auf
1353	Land
1354	und
1355	See
1356	hinaus
1357	.
1358	Ein
1359	grauer
1360	Gewitterdunst
1361	umduftet
1362	den
1363	schwülen
1364	Sommerhimmel
1365	.
1366	Der
1367	Seespiegel
1368	schattet
1369	ihn
1370	ab
1371	und
1372	gleicht
1373	einer
1374	dunklen
1375	,
1376	angehauchten
1377	Stahlplatte
1378	.
1379	Links
1380	auf
1381	Neu-Jersey
1382	,
1383	rechts
1384	über
1385	Brooklyns
1386	Waldhöhen
1387	hängen
1388	zwei
1389	dünnwallende
1390	Sprühregen
1391	herab
1392	.
1393	In
1394	der
1395	Mitte
1396	von
1397	beiden
1398	bricht
1399	im
1400	Hintergrunde
1401	die
1402	Sonne
1403	durch
1404	und
1405	spannt
1406	ein
1407	paar
1408	breite
1409	großgefächerte
1410	Strahlen
1411	über
1412	Newyork
1413	.
1414	Die
1415	Stadt
1416	schwimmt
1417	in
1418	einem
1419	milchweißen
1420	Fernenlicht
1421	,
1422	das
1423	mattgraue
1424	Wolkengehänge
1425	des
1426	Vordergrunds
1427	contrastirt
1428	dazu
1429	mit
1430	einer
1431	schlagenden
1432	Wirkung
1433	.
1434	Wer
1435	Neapel
1436	in
1437	diesem
1438	Nimbus
1439	gesehen
1440	,
1441	dürfte
1442	sich
1443	glücklich
1444	preisen
1445	.
1446	Ein
1447	solches
1448	Bild
1449	mit
1450	andern
1451	abzuwägen
1452	,
1453	kennzeichnet
1454	das
1455	Gros
1456	der
1457	Menschenaugen
1458	.
1459	Sie
1460	sehen
1461	die
1462	Landschaft
1463	nur
1464	als
1465	wägbare
1466	Masse
1467	,
1468	der
1469	beleuchtende
1470	Geist
1471	entgeht
1472	ihnen
1473	allzuoft
1474	.
1475	Unser
1476	Ankömmling
1477	enpfindet
1478	ihn
1479	voll
1480	.
1481	Sein
1482	Auge
1483	ist
1484	wie
1485	von
1486	einem
1487	Zauber
1488	gefesselt
1489	vor
1490	dieser
1491	Lichtwirkung
1492	.
1493	Es
1494	ist
1495	ihm
1496	,
1497	als
1498	sähe
1499	er
1500	in
1501	der
1502	neuen
1503	Welt
1504	ein
1505	neues
1506	,
1507	sich
1508	selbst
1509	übertreffendes
1510	Tageslicht
1511	.
1512	Und
1513	das
1514	sinnliche
1515	Bild
1516	wie
1517	ein
1518	Symbol
1519	deutend
1520	,
1521	ruft
1522	er
1523	aus
1524	:
1525	Ja
1526	,
1527	nur
1528	Amerika
1529	hat
1530	Tag
1531	,
1532	Europa
1533	das
1534	Phosphorlicht
1535	seiner
1536	faulenden
1537	Stoffe
1538	!
1539	—
1540	Inzwischen
1541	treibt
1542	das
1543	Fahrzeug
1544	dem
1545	Lande
1546	immer
1547	näher
1548	.
1549	Die
1550	Scenen
1551	der
1552	Bai
1553	werden
1554	reicher
1555	und
1556	bunter
1557	.
1558	Schiffe
1559	von
1560	allen
1561	Größen
1562	und
1563	Formen
1564	—
1565	im
1566	Ocean
1567	nur
1568	durch's
1569	Fernrohr
1570	gesehen
1571	,
1572	durch's
1573	Sprachrohr
1574	angesprochen
1575	—
1576	bewundert
1577	man
1578	jetzt
1579	in
1580	der
1581	Nähe
1582	;
1583	gleich
1584	Delphinenschaaren
1585	erfüllten
1586	sie
1587	zu
1588	Hunderten
1589	das
1590	majestätische
1591	Wasser
1592	Bassin
1593	.
1594	Zwischen
1595	ihnen
1596	tummeln
1597	sich
1598	kleine
1599	verwegene
1600	Ruderboote
1601	und
1602	verschwinden
1603	in
1604	jedem
1605	Augenblicke
1606	aus
1607	dem
1608	Gesichte
1609	,
1610	so
1611	oft
1612	eine
1613	frische
1614	Brise
1615	über
1616	den
1617	Meeresspiegel
1618	haucht
1619	.
1620	Aber
1621	immer
1622	sind
1623	sie
1624	wieder
1625	oben
1626	,
1627	lustig
1628	,
1629	geschäftig
1630	,
1631	rastlos
1632	wie
1633	die
1634	Bienen
1635	.
1636	Es
1637	ist
1638	auch
1639	ein
1640	Bienenvolk
1641	,
1642	das
1643	nach
1644	Honig
1645	ausschwärmt
1646	.
1647	Die
1648	Repporters
1649	der
1650	Zeitungen
1651	sind's
1652	,
1653	welche
1654	meilenweit
1655	den
1656	einlaufenden
1657	Schiffen
1658	entgegenkommen
1659	.
1660	Sie
1661	scheinen
1662	die
1663	Honneurs
1664	der
1665	neuen
1666	Welt
1667	zu
1668	machen
1669	,
1670	den
1671	Fremden
1672	ihre
1673	Dienste
1674	anzubieten
1675	,
1676	verfolgen
1677	aber
1678	nur
1679	den
1680	Zweck
1681	,
1682	sich
1683	selbst
1684	allerlei
1685	Seeberichte
1686	und
1687	Reisenotizen
1688	von
1689	ihnen
1690	einzusammeln
1691	.
1692	Weniger
1693	artig
1694	verhüllen
1695	ihre
1696	Honiggier
1697	die
1698	Runners
1699	,
1700	die
1701	Clerks
1702	der
1703	Makler
1704	,
1705	der
1706	Agenten
1707	,
1708	der
1709	Gastwirthe
1710	.
1711	Zu
1712	Ballen
1713	und
1714	Rießen
1715	bombardiren
1716	sie
1717	das
1718	Schiff
1719	mit
1720	ihren
1721	Annoncen
1722	,
1723	entern
1724	,
1725	erstürmen
1726	es
1727	und
1728	möchten
1729	es
1730	in
1731	die
1732	Sclaverei
1733	ihrer
1734	Firma
1735	gerne
1736	mit
1737	den
1738	geringst-möglichen
1739	Umständen
1740	schleppen
1741	.
1742	Bei
1743	dieser
1744	Gelegenheit
1745	geht
1746	mancher
1747	Wahn
1748	in
1749	die
1750	Brüche
1751	,
1752	daß
1753	man
1754	sein
1755	Englisch
1756	in
1757	bester
1758	Aussprache
1759	einstudirt
1760	habe
1761	.
1762	Indeß
1763	verständigt
1764	man
1765	sich
1766	doch
1767	zuletzt
1768	,
1769	läßt
1770	sich
1771	hier
1772	in
1773	ein
1774	Geschäft
1775	ein
1776	,
1777	belegt
1778	dort
1779	eine
1780	Nummer
1781	im
1782	Gasthaus
1783	.
1784	Auch
1785	unserm
1786	Helden
1787	präsentirt
1788	ein
1789	geschäftssüchtiger
1790	Runner
1791	die
1792	Karte
1793	seines
1794	Hotels
1795	.
1796	Aber
1797	er
1798	bringt
1799	seine
1800	eigene
1801	Adresse
1802	mit
1803	,
1804	und
1805	dieser
1806	Sorge
1807	enthoben
1808	,
1809	wendet
1810	er
1811	sich
1812	von
1813	dem
1814	Beschwerlichen
1815	ab
1816	,
1817	denn
1818	das
1819	Einclariren
1820	des
1821	Schiffes
1822	unterhält
1823	jetzt
1824	seine
1825	Aufmerksamkeit
1826	.
1827	Er
1828	vernimmt
1829	die
1830	letzten
1831	Commando's
1832	des
1833	Lootsen
1834	,
1835	das
1836	letzte
1837	Segel
1838	sieht
1839	er
1840	von
1841	den
1842	Matrosen
1843	beilegen
1844	,
1845	das
1846	Schiff
1847	geht
1848	vor
1849	seine
1850	Hafen
1851	Barriere
1852	.
1853	Ein
1854	leiser
1855	Schauer
1856	durchrieselt
1857	ihn
1858	,
1859	indem
1860	die
1861	schwere
1862	Ankerkette
1863	über
1864	die
1865	Winde
1866	rasselt
1867	.
1868	Ach
1869	,
1870	nur
1871	der
1872	Reiche
1873	reist
1874	,
1875	gleich
1876	dem
1877	Elfen
1878	Puck
1879	„
1880	schweifend
1881	über
1882	Land
1883	und
1884	Meer
1885	”
1886	—
1887	aber
1888	wie
1889	Viele
1890	heftet
1891	diese
1892	Kette
1893	bleibend
1894	an
1895	den
1896	Boden
1897	,
1898	für
1899	den
1900	sie
1901	vielleicht
1902	ihr
1903	Letztes
1904	eingesetzt
1905	!
1906	Da
1907	flattern
1908	sie
1909	hin
1910	Alle
1911	mit
1912	der
1913	gleichen
1914	Hoffnung
1915	,
1916	Jeder
1917	mit
1918	seinem
1919	besonderen
1920	Schicksale
1921	!
1922	Ein
1923	Nest
1924	voll
1925	halbbesiederter
1926	Brut
1927	dünkt
1928	ihm
1929	das
1930	Auswandererschiff
1931	—
1932	wer
1933	wird
1934	aufwärts
1935	dringen
1936	in
1937	den
1938	blauen
1939	,
1940	liederreichen
1941	Aether
1942	;
1943	wer
1944	wird
1945	niederstürzen
1946	in
1947	den
1948	Busch
1949	,
1950	in
1951	die
1952	Tatze
1953	des
1954	lauernden
1955	Wildes
1956	?
1957	Das
1958	Ankerwerfen
1959	ist
1960	einer
1961	jener
1962	Momente
1963	,
1964	wo
1965	man
1966	die
1967	Geisterhand
1968	deutlicher
1969	zu
1970	sehen
1971	glaubt
1972	,
1973	die
1974	das
1975	Menschenschicksal
1976	webt
1977	.
1978	Auch
1979	bei
1980	der
1981	rosigsten
1982	Aussicht
1983	flirrt
1984	Gespensterfurcht
1985	wie
1986	ein
1987	schwarzer
1988	Faden
1989	durch's
1990	Auge
1991	.
1992	Im
1993	Getümmel
1994	des
1995	Landens
1996	,
1997	des
1998	Ausschiffens
1999	,
2000	in
2001	einem
2002	Babel

