i	text
766	gegenwärtiger
767	Besitzer
768	als
769	junger
770	Mensch
771	schon
772	erlebt
773	hatte
774	,
775	war
776	nicht
777	so
778	schlimm
779	gewesen
780	wie
781	die
782	früheren
783	.
784	Christophs
785	Großvater
786	hatte
787	ihn
788	wiederhergestellt
789	,
790	sein
791	Vater
792	noch
793	erweitert
794	und
795	ausgebaut
796	und
797	er
798	selber
799	ihn
800	endlich
801	zu
802	dem
803	gemacht
804	,
805	was
806	er
807	heute
808	war
809	,
810	ein
811	echt
812	pfälzischer
813	Bauern-
814	und
815	Winzerhof
816	,
817	der
818	sich
819	sehen
820	lassen
821	konnte
822	und
823	in
824	ganz
825	Wachenheim
826	nur
827	von
828	einem
829	einzigen
830	an
831	Größe
832	und
833	schmucker
834	Wohnlichkeit
835	noch
836	übertroffen
837	wurde
838	.
839	Hier
840	auf
841	seinem
842	freien
843	Eigen
844	saß
845	nun
846	Christoph
847	Armbruster
848	und
849	trommelte
850	mit
851	den
852	Fingern
853	auf
854	der
855	Tischplatte
856	.
857	Plötzlich
858	überflog
859	ein
860	gutmütig
861	schlaues
862	Lächeln
863	seine
864	markigen
865	Züge
866	,
867	und
868	er
869	hob
870	den
871	Blick
872	zu
873	der
874	trutzigen
875	Wachtenburg
876	empor
877	,
878	die
879	unweit
880	der
881	Stadt
882	den
883	Gipfel
884	eines
885	steilen
886	Vorberges
887	krönte
888	.
889	Die
890	Sonne
891	war
892	bereits
893	hinter
894	dem
895	hohen
896	,
897	in
898	schönen
899	Linien
900	auf-
901	und
902	absteigenden
903	Kamme
904	des
905	Gebirges
906	verschwunden
907	,
908	aber
909	ein
910	flammendes
911	Abendrot
912	stand
913	am
914	Himmel
915	und
916	überhauchte
917	die
918	Zinnen
919	und
920	Türme
921	der
922	Burg
923	mit
924	einem
925	goldigen
926	Schimmer
927	.
928	Dort
929	hauste
930	der
931	Reichsfreiherr
932	Dietrich
933	von
934	Remchingen
935	,
936	kurfürstlicher
937	Obervogt
938	der
939	Vorderpfalz
940	,
941	der
942	die
943	ihm
944	verliehene
945	Machtbefugnis
946	gerecht
947	und
948	mild
949	ausübte
950	.
951	Er
952	und
953	Christoph
954	waren
955	Jugendgenossen
956	.
957	Der
958	Abkömmling
959	eines
960	alten
961	,
962	stolzen
963	Rittergeschlechtes
964	und
965	der
966	Sproß
967	einer
968	alten
969	,
970	freien
971	Bauernfamilie
972	hatten
973	sich
974	als
975	Knaben
976	bald
977	auf
978	den
979	Wällen
980	und
981	in
982	den
983	Gräben
984	der
985	Burg
986	,
987	bald
988	in
989	dem
990	Garten
991	und
992	den
993	Wirtschaftsräumen
994	des
995	Winzerhofes
996	getummelt
997	,
998	hatten
999	als
1000	Jünglinge
1001	die
1002	Berge
1003	und
1004	Täler
1005	der
1006	Haardt
1007	durchstreift
1008	,
1009	als
1010	Männer
1011	dem
1012	edlen
1013	Weidwerk
1014	obgelegen
1015	und
1016	endlich
1017	die
1018	Schrecken
1019	des
1020	großen
1021	Krieges
1022	miteinander
1023	getragen
1024	,
1025	und
1026	ihre
1027	Freundschaft
1028	hatte
1029	durch
1030	all
1031	die
1032	langen
1033	Jahre
1034	treulich
1035	standgehalten
1036	und
1037	blühte
1038	heute
1039	noch
1040	,
1041	wo
1042	sie
1043	beide
1044	rüstige
1045	,
1046	welterfahrene
1047	Sechziger
1048	waren
1049	.
1050	Im
1051	traulichen
1052	Gespräch
1053	nannten
1054	sie
1055	sich
1056	du
1057	und
1058	bei
1059	den
1060	Vornamen
1061	,
1062	im
1063	amtlichen
1064	Verkehr
1065	aber
1066	,
1067	den
1068	ja
1069	ihre
1070	Stellungen
1071	mit
1072	sich
1073	brachten
1074	und
1075	bei
1076	dem
1077	es
1078	hin
1079	und
1080	wieder
1081	zu
1082	kleinen
1083	Reibereien
1084	und
1085	manchmal
1086	auch
1087	zu
1088	einem
1089	scharfen
1090	Wortwechsel
1091	kam
1092	,
1093	schnoben
1094	sie
1095	sich
1096	auch
1097	wohl
1098	mit
1099	Herr
1100	Reichsfreiherr
1101	!
1102	und
1103	Herr
1104	Bürgermeister
1105	!
1106	unwirsch
1107	an
1108	,
1109	um
1110	sich
1111	beim
1112	nächsten
1113	Wiedersehen
1114	ohne
1115	Vorrede
1116	die
1117	Hände
1118	zu
1119	schütteln
1120	und
1121	herzlich
1122	ins
1123	Gesicht
1124	zu
1125	lachen
1126	.
1127	An
1128	einen
1129	solchen
1130	kürzlich
1131	gehabten
1132	Streit
1133	mochte
1134	der
1135	Bürgermeister
1136	wohl
1137	gedacht
1138	haben
1139	,
1140	als
1141	er
1142	zur
1143	Wachtenburg
1144	hinaufgeblickt
1145	hatte
1146	.
1147	Wie
1148	er
1149	da
1150	nun
1151	am
1152	Tisch
1153	unter
1154	den
1155	Reben
1156	saß
1157	und
1158	sinnierte
1159	,
1160	lugte
1161	plötzlich
1162	,
1163	unbemerkt
1164	von
1165	ihm
1166	,
1167	ein
1168	brauner
1169	Mädchenkopf
1170	aus
1171	der
1172	Haustür
1173	um
1174	die
1175	Ecke
1176	,
1177	und
1178	husch
1179	!
1180	sprang
1181	eine
1182	hübsche
1183	junge
1184	Dirn
1185	die
1186	paar
1187	Stufen
1188	hinab
1189	und
1190	zu
1191	dem
1192	Alten
1193	auf
1194	die
1195	Bank
1196	,
1197	wo
1198	sie
1199	sich
1200	kuschelig
1201	an
1202	seine
1203	breite
1204	Schulter
1205	schmiegte
1206	.
1207	»
1208	Grashupf
1209	,
1210	bist
1211	du
1212	da
1213	?
1214	«
1215	sprach
1216	er
1217	,
1218	indem
1219	er
1220	den
1221	Arm
1222	um
1223	seinen
1224	Liebling
1225	,
1226	die
1227	jüngste
1228	Tochter
1229	,
1230	schlang
1231	.
1232	»
1233	Wo
1234	ist
1235	die
1236	Mutter
1237	?
1238	«
1239	»
1240	Sie
1241	kommt
1242	auch
1243	gleich
1244	,
1245	«
1246	erwiderte
1247	das
1248	Mädchen
1249	.
1250	»
1251	Hast
1252	wohl
1253	schon
1254	Hunger
1255	,
1256	Väterle
1257	?
1258	«
1259	»
1260	O
1261	ja
1262	,
1263	aber
1264	die
1265	andern
1266	fehlen
1267	auch
1268	noch
1269	,
1270	ihr
1271	laßt
1272	mich
1273	ja
1274	ganz
1275	allein
1276	hier
1277	.
1278	«
1279	»
1280	Ich
1281	doch
1282	nicht
1283	,
1284	Väterle
1285	!
1286	ich
1287	lauf
1288	dir
1289	immer
1290	nach
1291	wie
1292	ein
1293	spürendes
1294	Hundl
1295	seinem
1296	verlorenen
1297	Herrn
1298	.
1299	«
1300	»
1301	Ja
1302	du
1303	,
1304	du
1305	!
1306	«
1307	lächelte
1308	er
1309	und
1310	drückte
1311	sie
1312	sanft
1313	an
1314	sich
1315	.
1316	Die
1317	Siebzehnjährige
1318	mit
1319	runden
1320	Wangen
1321	und
1322	lustigen
1323	Augen
1324	war
1325	eine
1326	Herzensfreude
1327	für
1328	den
1329	ernsten
1330	,
1331	manchmal
1332	kurz
1333	angebundenen
1334	Mann
1335	,
1336	und
1337	wenn
1338	er
1339	sie
1340	auch
1341	keineswegs
1342	verzogen
1343	hatte
1344	,
1345	so
1346	besaß
1347	sie
1348	doch
1349	eine
1350	nicht
1351	geringe
1352	Gewalt
1353	über
1354	ihn
1355	und
1356	konnte
1357	ihm
1358	abbetteln
1359	und
1360	abschmeicheln
1361	,
1362	was
1363	sie
1364	wollte
1365	.
1366	Er
1367	aber
1368	hatte
1369	seinen
1370	Spaß
1371	an
1372	den
1373	kleinen
1374	Listen
1375	,
1376	die
1377	sie
1378	dabei
1379	anwandte
1380	und
1381	die
1382	er
1383	,
1384	ohne
1385	sich's
1386	merken
1387	zu
1388	lassen
1389	,
1390	wohl
1391	durchschaute
1392	.
1393	Die
1394	beiden
1395	blieben
1396	nicht
1397	lange
1398	allein
1399	.
1400	Zwei
1401	pausbäckige
1402	Jungen
1403	von
1404	zehn
1405	und
1406	acht
1407	Jahren
1408	,
1409	Christophs
1410	Enkel
1411	,
1412	kamen
1413	um
1414	das
1415	Haus
1416	herum
1417	angestürmt
1418	,
1419	und
1420	das
1421	erste
1422	Wort
1423	des
1424	älteren
1425	war
1426	:
1427	»
1428	Gibt's
1429	noch
1430	nichts
1431	zu
1432	essen
1433	?
1434	«
1435	»
1436	So
1437	!
1438	«
1439	lachte
1440	Christoph
1441	,
1442	»
1443	wo
1444	habt
1445	ihr
1446	Schlingel
1447	denn
1448	gesteckt
1449	?
1450	«
1451	»
1452	Im
1453	Garten
1454	,
1455	Großvater
1456	,
1457	«
1458	erwiderte
1459	der
1460	jüngere
1461	.
1462	»
1463	Und
1464	wo
1465	sind
1466	eure
1467	Eltern
1468	?
1469	«
1470	»
1471	Vater
1472	ist
1473	nicht
1474	daheim
1475	,
1476	und
1477	Mutter
1478	singt's
1479	Bärbele
1480	in
1481	Schlaf
1482	.
1483	«
1484	»
1485	Dann
1486	seht
1487	mal
1488	nach
1489	,
1490	ob
1491	ihr
1492	Großmutter
1493	findet
1494	,
1495	daß
1496	sie
1497	euch
1498	die
1499	gefräßigen
1500	Mäuler
1501	stopft
1502	.
1503	«
1504	Da
1505	sprangen
1506	sie
1507	ins
1508	Haus
1509	hinein
1510	,
1511	und
1512	man
1513	hörte
1514	sie
1515	nach
1516	der
1517	Großmutter
1518	rufen
1519	.
1520	Nun
1521	erscholl
1522	von
1523	innen
1524	eine
1525	weibliche
1526	Stimme
1527	:
1528	»
1529	Ammerie
1530	!
1531	«
1532	»
1533	Ja
1534	,
1535	Mutter
1536	!
1537	«
1538	gab
1539	das
1540	Mädchen
1541	zurück
1542	und
1543	enteilte
1544	.
1545	Bald
1546	kamen
1547	die
1548	vier
1549	wieder
1550	.
1551	Christophs
1552	Frau
1553	Madlen
1554	,
1555	in
1556	Abkürzung
1557	von
1558	Magdalene
1559	so
1560	genannt
1561	,
1562	und
1563	Ammerie
1564	,
1565	beide
1566	mit
1567	irdenen
1568	Tellern
1569	und
1570	Schüsseln
1571	beladen
1572	,
1573	auf
1574	denen
1575	das
1576	kalte
1577	Abendbrot
1578	appetitlich
1579	geschichtet
1580	war
1581	,
1582	und
1583	hinter
1584	ihnen
1585	die
1586	zwei
1587	Jungen
1588	mit
1589	anderem
1590	Eßgerät
1591	,
1592	soviel
1593	ihre
1594	kleinen
1595	Hände
1596	fassen
1597	konnten
1598	.
1599	Alles
1600	wurde
1601	auf
1602	die
1603	sieben
1604	Plätze
1605	an
1606	dem
1607	zuvor
1608	mit
1609	einem
1610	blaugemusterten
1611	Linnen
1612	bedeckten
1613	Tisch
1614	verteilt
1615	,
1616	denn
1617	der
1618	Sohn
1619	aß
1620	mit
1621	Frau
1622	und
1623	Kindern
1624	stets
1625	bei
1626	den
1627	Eltern
1628	,
1629	weil
1630	es
1631	der
1632	alte
1633	Herr
1634	,
1635	der
1636	auf
1637	den
1638	festen
1639	Zusammenhalt
1640	der
1641	Familie
1642	hohen
1643	Wert
1644	legte
1645	,
1646	so
1647	verlangte
1648	.
1649	Als
1650	Ammerie
1651	dann
1652	noch
1653	einen
1654	großen
1655	Steinkrug
1656	selbst
1657	geherbsteten
1658	Wein
1659	und
1660	fünf
1661	zinnerne
1662	Becher
1663	geholt
1664	hatte
1665	,
1666	erschien
1667	auch
1668	Elsbeth
1669	,
1670	Armbrusters
1671	schöngewachsene
1672	Schwiegertochter
1673	.
1674	»
1675	Wo
1676	hast
1677	du
1678	deinen
1679	Mann
1680	?
1681	«
1682	fragte
1683	Christoph
1684	.
1685	»
1686	Ich
1687	weiß
1688	nicht
1689	,
1690	wo
1691	der
1692	Peter
1693	bleibt
1694	,
1695	«
1696	erwiderte
1697	Elsbeth
1698	.
1699	»
1700	Er
1701	wollte
1702	nur
1703	noch
1704	einmal
1705	zum
1706	Böttchermeister
1707	Lutz
1708	Hebenstreit
1709	gehen
1710	.
1711	«
1712	»
1713	Nun
1714	,
1715	warten
1716	wir
1717	nicht
1718	auf
1719	ihn
1720	,
1721	«
1722	bestimmte
1723	der
1724	Bürgermeister
1725	und
1726	ließ
1727	sich
1728	quervor
1729	am
1730	Tische
1731	in
1732	einem
1733	grobgezimmerten
1734	Lehnstuhl
1735	nieder
1736	,
1737	seiner
1738	Frau
1739	gegenüber
1740	,
1741	so
1742	daß
1743	Kinder
1744	und
1745	Enkel
1746	zwischen
1747	den
1748	beiden
1749	Alten
1750	saßen
1751	,
1752	das
1753	jüngere
1754	Ehepaar
1755	auf
1756	der
1757	Bank
1758	.
1759	Ehe
1760	sie
1761	aber
1762	alle
1763	Platz
1764	genommen
1765	hatten
1766	,
1767	rief
1768	der
1769	ältere
1770	der
1771	beiden
1772	Jungen
1773	:
1774	»
1775	Da
1776	kommt
1777	der
1778	Vater
1779	!
1780	«
1781	Peter
1782	,
1783	an
1784	Gliederbau
1785	wie
1786	auch
1787	im
1788	Gesicht
1789	seines
1790	Vaters
1791	Ebenbild
1792	und
1793	dessen
1794	rechte
1795	Hand
1796	im
1797	Wirtschaftsbetriebe
1798	,
1799	kam
1800	schnell
1801	über
1802	den
1803	Hof
1804	heran
1805	und
1806	setzte
1807	sich
1808	mit
1809	einem
1810	entschuldigenden
1811	»
1812	Verzeiht
1813	!
1814	«
1815	neben
1816	seine
1817	Frau
1818	.
1819	Nach
1820	einem
1821	kurzen
1822	Tischgebete
1823	,
1824	das
1825	der
1826	älteste
1827	Enkel
1828	geläufig
1829	,
1830	doch
1831	ohne
1832	große
1833	Andacht
1834	hersagte
1835	,
1836	begannen
1837	sie
1838	zu
1839	essen
1840	,
1841	und
1842	Elsbeth
1843	teilte
1844	ihren
1845	beiden
1846	Jungen
1847	ein
1848	Genügendes
1849	zu
1850	,
1851	während
1852	Ammerie
1853	aus
1854	dem
1855	Kruge
1856	die
1857	Becher
1858	füllte
1859	.
1860	»
1861	Du
1862	warst
1863	noch
1864	bei
1865	Lutz
1866	Hebenstreit
1867	?
1868	«
1869	fragte
1870	Christoph
1871	.
1872	»
1873	Ja
1874	,
1875	ich
1876	wollte
1877	ihn
1878	noch
1879	einmal
1880	ernstlich
1881	an
1882	unsere
1883	Fässer
1884	mahnen
1885	,
1886	«
1887	gab
1888	Peter
1889	zur
1890	Antwort
1891	,
1892	»
1893	aber
1894	da
1895	kam
1896	ich
1897	bei
1898	dem
1899	bärbeißigen
1900	alten
1901	Junggesellen
1902	schön
1903	an
1904	.
1905	Erst
1906	müßte
1907	er
1908	die
1909	für
1910	meinen
1911	Schwiegervater
1912	fertigschaffen
1913	,
1914	der
1915	ihm
1916	mit
1917	Entziehung
1918	seiner
1919	Kundschaft
1920	gedroht
1921	hätte
1922	,
1923	wenn
1924	er
1925	sie
1926	ihm
1927	nicht
1928	pünktlich
1929	lieferte
1930	;
1931	wir
1932	sollten
1933	ihn
1934	in
1935	des
1936	Deibels
1937	Namen
1938	in
1939	Ruhe
1940	lassen
1941	,
1942	fuhr
1943	er
1944	patzig
1945	auf
1946	mich
1947	los
1948	,
1949	ehe
1950	ich
1951	nur
1952	ausreden
1953	konnte
1954	.
1955	«
1956	»
1957	Nun
1958	,
1959	es
1960	ist
1961	ja
1962	noch
1963	ein
1964	paar
1965	Wochen
1966	Zeit
1967	bis
1968	zur
1969	Lese
1970	,
1971	«
1972	meinte
1973	Madlen
1974	begütigend
1975	.
1976	»
1977	Die
1978	Wingerten
1979	sind
1980	geschlossen
1981	,
1982	und
1983	wir
1984	haben
1985	einen
1986	guten
1987	Herbst
1988	vor
1989	uns
1990	,
1991	«
1992	sagte
1993	Christoph
1994	.
1995	»
1996	Aber
1997	freilich
1998	,
1999	wo
2000	Florian
2001	Gersbacher
2002	den
2003	Vorsprung
2004	hat
2005	,
2006	da
