ID_general;fullname;gender;possible_identity;members;members_names;specialcase;borderline;comment_entity;ID_chapter_2;ID_chapter_3;ID_chapter_4;ID_chapter_5;ID_chapter_6;ID_chapter_7;ID_chapter_8;ID_chapter_9;ID_chapter_10;ID_chapter_11;ID_chapter_12;ID_chapter_13;ID_chapter_14;ID_chapter_15;ID_chapter_16;ID_chapter_17;ID_chapter_18;ID_chapter_19;ID_chapter_20;ID_chapter_21;ID_chapter_22;ID_chapter_23;ID_chapter_24;ID_chapter_25;ID_chapter_26
entity_0022;Jakobine Steinecker;f;;;;;;;;;Jakobine;Jakobine;Jakobine;Jakobine;;Jakobine;Jakobine;Jakobine;Jakobine;Jakobine;Jakobine Steinecker;Jakobine Steinecker;Jakobine Steinecker;;Jakobine Steinecker;Jakobine;Jakobine;;;Jakobine Steinecker;;;
entity_0023;Adam Steinecker;m;;;;;;;;;;Steinecker;Adam Steinecker;Steinecker;;Steinecker (Vater);;Steinecker;;;Vater von Jakobine Steinecker;Adam Steinecker;Steinecker;;Steinecker;;;;;Adam Steinecker;;;
entity_0024;Wilm Steinecker;m;;;;;;;;;;;Wilm Steinecker;;;Wilm Steinecker;Wilm;;;;Wilm ;;Wilm Steinecker;;Wilm Steinecker;;Wilm;Wilm Steinecker;Wilm Steinecker;Wilm Steinecker;;;
entity_0025;Mutter Steinecker;f;;;;;;;;;;;Mutter Steinecker;;;;Jakobines Mutter;;;;;;Frau Steinecker;;;;;;;;;;
entity_0026;Familie Steinecker;mf;;entity_0022,entity_0023,entity_0024,entity_0025;Adam Steinecker,Wilm Steinecker,Jakobine Steinecker,Mutter Steinecker;group;;;;;;;;Familie Steinecker;;Familie Steinecker;Jakobines Familie;Familie Steinecker;Familie Steinecker;;;Familie Steinecker;Familie Steinecker;;Familie Steinecker;;;;Familie Steinecker;Familie Steinecker;;;
entity_0027;Vincenz Ebendorffer;m;;;;;;;;Vincenz Ebendorffer;;;;;;;;;;;;;;;Vinzenz Ebendorffer;Vinzenz Ebendorffer;Ebendorffer;Ebendorffer;Ebendorffer;Ebendorffer;Ebendorffer;Entführer;
entity_0028;Pankraz Dornhuber;m;;;;;;;;Pankraz Dornhuber;;;;;;;;Trudis Stiefvater;;;;;;;;Trudis Stiefvater;;;;;;;
entity_0029;Junker Ulrich von Remchingen;m;;;;;;;;;;;;Ulrich;;;Junker Ulrich von Remchingen;;Junker Ulrich;;Junker Ulrich;;Ulrich von Remchingen;Junker;;;Ulrich von Remchingen;;;Ulrich von Remchingen;;;
entity_0030;Schultheiß Gottfried Bofinger;m;;;;;;;;;;;;;Gottfried Bofinger;;;;;Schultheiß;;Schultheiß;Gottfried Bosinger;;Schultheiß;Gottfried Bofinger;;Gottfried Bofinger;Schultheiß;Schultheiß;;Schultheiß;
entity_0031;Hammichels Freund;m;;;;;;;;;;;;;Freund von Hammichel;;Hammichels Freund;;Freund Hammichels;Kumpan;Herr Sekretarius;;;;;;;;;;;;
entity_0032;Hilde Scheithauer;f;;;;;;;Hilde Scheithauer;Trudis Mutter;;;;;;;;;;;;;;Trudis Mutter;;Trudis Mutter;;;;;;;
entity_0033;Niklas;m;;;;;;;Niklas;;;;;;;;;;Niklas;;;;;;;;;;;;;Niklas;
entity_0034;Bertel Armbruster;f;;;;;;;Bertel;;;;;;;;;;;;;Bertel;;;;;;;;;;Bertel;
entity_0035;Hegewald;m;;;;;;;Vater von Gontrud Hegewald;Trudis Vater;;;;;;;;;;;;;;Trudis Vater;Trudis Vater;Trudis Vater;;;;;;;
entity_0036;Joseph Scheithauer;m;;;;;;;Joseph Scheithauer;;;;;;;;;;;;;;;;;;;;;;;;
entity_0037;Vater von C. Armbruster;m;;;;;;;Vater von Christoph Armbruster;;Vater von Christoph Armbruster;;;;Vater von Christoph Armbruster;;;;;Christoph Armbrusters Vater;;;;;;;;;;;;;
entity_0038;Vater von Madlen Armbruster;m;;;;;;;Vater von Madlen Armbruster;;;;;;;;;;;;;;;;;;;;;;;;
entity_0039;Kinder der Wachenheimer;u;;;;group;;;Kinder der Wachenheimer;;;;;;;;;;;;;;;;;;;;;;;;
entity_0040;Gott;m;;;;nonfact;;;;Gott;Gott;;Gott;;Gott ;;;;Gott;;;;Gott;;Gott;Gott;;Gott;;Gott;Gott;Gott;
entity_0041;Teufel;m;;;;nonfact;;;Teufel;Teufel;;;;Teufel;Teufel;;;;;Deibel;;Teufel;;Teufel;;;Teufel;;Teuffel;Deibel;;;
entity_0042;ehrliche Weinbauern;mf;;entity_0007,entity_0013,x;Familie Armbruster,Familie Gersbacher,x;group;;;;;;;;ehrliche Weinbauern;;;;;;;;;;;;;;;;;;;
entity_0043;Hammichels Weinbauern;mf;;entity_0026,entity_0046,entity_0231,entity_0228,x;Familie Steinecker,Merten Flachendag,Henning Buschard,Panscher,x;group;;;;;;;;Hammichels Weinbauern;;;;;;;;;;;;;;;;;;;
entity_0044;Wachenheimer Winzer;mf;;entity_0043,entity_0042;Hammichels Weinbauern,ehrliche Weinbauern;group;;;;;Winzer;Winzer;;Weinbauern;Winzer;;;;;;;;;;;;;;Winzer;;;;
entity_0045;Christophs Freunde;mf;;entity_0013,entity_0014,entity_0018,x;Familie Gersbacher,Lutz Hebenstreit,Dietrich von Remchingen,x;group;;;;;;;;Christophs Freunde;;;;;;;;;;;;Freunde Christophs;Freunde von Christoph Armbruster;;;;;Freunde Christophs;
entity_0046;Merten Flachendag;m;;;;;;;;;;;;Merten Fachendag;Merten Fachendag;;;;Merten Fachendag;Fachendag;Merten Fachendag;Merten Flachendag;;;;;;;;;;;
entity_0047;Kurfürst Karl Ludwig;m;;;;;;;Karl Ludwig;;;;;;Pfalzgraf;;;;;Pfalzgraf;Pfalzgraf;;Karl Ludwig;Pfalzgraf;Pfalzgraf;;Pfalzgraf;;;Pfalzgraf;Pfalzgraf Karl Ludwig;Pfalzgraf Karl Ludwig;
entity_0048;Urschel;f;;;;;;;Urschel;;;;;;;;;;;;;;;;;;;;;;;;
entity_0049;Sohn von Christoph und Madlen Armbruster;m;;;;;;;Sohn von Christoph und Madlen Armbruster;;;;;;;;;;;;;;;;;;;;;;;;
entity_0050;Hans Kaub;m;;;;;;;Hans Kaub;;;;;;;;;;;;;;;;;;;;;;;;
entity_0051;Bärbele Armbruster;f;;;;;;;Bärbele;;Bärbele;;;;;;;;;;;;;;;;;;;;;;
entity_0052;Pater Bumpus;m;;;;;;;Pater Bumpus;;;;;;;;;;;;;;;;Pfarrer;;;;;;;Pfarrer;
entity_0053;Konrad II. der Salier;m;;;;;;;Konrad II.;;;;;;;;;;;;;;;;;;;;;;;;
entity_0054;Herzog Christian von Braunschweig;m;;;;;;;Christian von Braunschweig;;;;;;;;;;;;;;;;;;;;;;;;
entity_0055;Bertels Zimmermeister;m;;;;;;;Bertels Zimmermeister;;;;;;;;;;;;;;;;;;;;;;;Bertels Mann;
entity_0056;Abt von Bronnbach;m;;;;;;;Abt;;;;;;;;;;;;;;;;Abt von Bronnbach;Abt von Bronnbach;;Abt;;;;;
entity_0057;Markgraf Albrecht Alcibiades von Brandenburg;m;;;;;;;Albrecht Alcibiades von Brandenburg;;;;;;;;;;;;;;;;;;;;;;;;
entity_0058;Großvater Armbruster;m;;;;;;;Großvater von Christoph Armbruster;;;;;;;;;;;Christoph Armbrusters Großvater;;;;;;;;;;;;;
entity_0059;Friedrich der Siegreiche;m;;;;;;;Friedrich der Siegreiche;;;;;;;;;;;;;;;;;;;;;;;;
entity_0060;Graf Ernst von Mansfeld;m;;;;;;;Ernst von Mansfeld;;;;;;;;;;;;;;;;;;;;;;;;
entity_0061;Kirchenbesucher;u;;;;group;;;Kirchenbesucher;;;;;;;;;;;;;;;;;;;;;;;;
entity_0062;Hundebesitzer;u;;;;nonfact;;;Hundebesitzer;;;;;;;;;;;;;;;;;;;;;;;;
entity_0063;Hegewalds Häscher;m;;;;;;;Hegewalds Häscher;;;;;;;;;;;;;;;;;;;;;;;;
entity_0064;Landsknechte des Markgrafen Albrecht Alcibiades von Brandenburg;m;;;;group;;;Landsknechte des Markgrafen Albrecht Alcibiades von Brandenburg;;;;;;;;;;;;;;;;;;;;;;;;
entity_0065;Knecht von Hans Kaub;m;;;;;;;Knecht von Hans Kaub;;;;;;;;;;;;;;;;;;;;;;;;
entity_0066;Mutter von Kaspar;f;;;;;;;Mutter von Kaspar;;;;;Hammichels Tochter;;;;;;Hammichels Tochter;;;;;;;;;;;;;
entity_0067;Johann T’Serclaes von Tilly;m;;;;;;;Tilly;;;;;;;;;;;;;;;;;;;;;;;;
entity_0068;Vater von Kaspar;m;;;;;;;Vater von Kaspar;;;;;Schneckenkaschpers Vater;;;;;;;;;;;;;;;;;;;
entity_0069;Äbte;m;;entity_0056,x;Abt von Bronnbach;group;;;Äbte;;;;;;;;;;;;;;;;;;;;;;;;
entity_0070;Wirtin;f;;;;;;;;Wirtin;;;;;;;;;;;;;;;;;;;;;;;
entity_0071;gute Menschen;mf;;entity_0076,entity_0070,entity_0076,entity_0006,;Wirtin,Schifferfrau,Brigittenschwestern,Kaschper;group;;;;gute Menschen;;;;;;;;;;;;;;;;;;;;;;;
entity_0072;Pankraz' Sohn;m;;;;;;;;Pankraz' Sohn;;;;;;;;;;;;;;;;;;;;;;;
entity_0073;Honoratioren der Winzergilde;m;;;;group;;;;Honoratioren der Winzergilde;;;;;;;;;;;;;;;;;;;;;;;
entity_0074;Handwerksmeister;m;;;;group;;;;Handwerksmeister;;;;;;;;;;;;;;;;;;;;;;;
entity_0075;Hofbesitzer;m;;entity_0001,x;Christoph,x;group;;;;Hofbesitzer;;;;;;;;;;;;;;;;;;;;;;;
entity_0076;Brigittenschwestern;f;;;;group;;;;Brigittenschwestern;;;;;;;;;;;;;;;;;;;;;;;
entity_0077;Meier des Klosterhofes;m;;;;;;;;Meier des Klosterhofes;;;;;;;;;;;;;;;;;;;;;;;
entity_0078;Streitende im Gasthaus;u;;;;group;;;;Streitende im Gasthaus;;;;;;;;;;;;;;;;;;;;;;;
entity_0079;Kirchgänger;u;;;;;;;;Kirchgänger;;;;;;;;;;;;;;;;;;;;;;;
entity_0080;Kinder in Trudis Kindheit;u;;;;group;;;;Kinder in Trudis Kindheit;;;;;;;;;;;;;;;;;;;;;;;
entity_0081;Menschen;u;;;;generic, group;;;;Menschen;;;;;;;;;;;;;;;;;;;;;;;
entity_0082;Ritter Sankt Georg;m;;;;;;;;Ritter Sankt Georg;;;;;;;;;;;;;;;;;;;;;;Ritter Sankt Georg;
entity_0083;Schifferfrau;f;;;;;;;;Schifferfrau;;;;;;;;;;;;;;;;;;;;;;;
entity_0084;Trudis Eltern;mf;;entity_0032,entity_0035;Trudis Vater,Trudis Mutter;group;;;;Trudis Eltern;;;;;;;Trudis Eltern;;;;;;;;;;;;;;;;
entity_0085;Wachenheimer Frauen;f;;entity_0004,entity_0002,entity_0003,entity_0011,entity_0022,x;Madlen,Ammerie,Trudi,Jakobine,Agnete,x;group;;;;Wachenheimer Frauen;;;Wachenheimerinnen;Wachenheimerinnen;;;;;;;;;;;;;;;;;;;
entity_0086;Winzergilde;m;;entity_0073,x;"Honoratioren der Winzergilde;x";group;;;;Winzergilde;;;;;;;;;;;;;;;;;;;;;;;
entity_0087;geistlicher Herr;m;;;;;;;;geistlicher Herr;;;;;;;;;;;;;;;;;;;;;;;
entity_0088;Vorfahren von Christoph Armbruster;mf;;entity_0058,entity_0037,x;"Großvater von Christoph Armbruster;Vater von Christoph Armbruster;x";group;;;;;Vorfahren von Christoph Armbruster;;;;;;;;;;;;;;;;;;;;;;
entity_0089;Schwaben;u;;;;generic, group;;;;;Schwaben;;;;;;;;;;;;;;;;;;;;;;
entity_0090;Jungfrau;f;;;;generic;;;;;Jungfrau;;;;;;;;;;;;;;;;;;;;;;
entity_0091;Geleitende;u;;;;group;;;;;Geleitende;;;;;;;;;;;;;;;;;;;;;;
entity_0092;befreundete Winzerfamilien;mf;;entity_0007,entity_0013,x;"Familie Armbruster;Familie Gersbacher;x";group;;;;;befreundete Winzerfamilien;;;;;;;;;;;;;;;;;;;;;;
entity_0093;Bürgermeister;m;;;;generic;;;;;Bürgermeister;;;;;;;;;;;;;;;;;;;;;;
entity_0094;Umschwärmende;u;;;;;;;;;Umschwärmende;;;;;;;;;;;;;;;;;;;;;;
entity_0095;Anwesende;u;;;;;;;;;Anwesende;;;;;;;;;;;;;;;;;;;;;;
entity_0096;Feldnachbarn;m;;;;group;;;;;Feldnachbarn;;;;;;;;;;;;;;;;;;;;;;
entity_0097;Dürkheimer;u;;;;group;;;;;Dürkheimer;;;;;;;;;;;;;;;;;;;;;;
entity_0098;Gemeinde;u;;;;generic;;;;;Gemeinde;;;;;;;;;;;;;;;;;;;;;;
entity_0099;Gesinde;u;;entity_0203,x;"Knecht;x";group;;;;;Gesinde;;;;;;;;;;;;;;;;;;;;;;
entity_0100;Dionysos;m;;;;nonfact;;;;;Dionysos;;;;;;;;;;;;;;;;;;;;;;
entity_0101;Mitbürger von Christoph Armbruster;u;;;;;;;;;Mitbürger von Christoph Armbruster;;;;;;;;;;;;;;;;;;;;;;
entity_0102;Kronenwirt;m;;;;;;;;;Kronenwirt;;;;;;;;;;;;;;;;;;;Kronenwirt;;;
entity_0103;Knecht;m;;;;;;;;;Knecht;;;;;;;;;;;;;;;;;;;;;;
entity_0104;Würzburger;u;;entity_0105,x;Würzburger Winzer;group;;;;;;Würzburger;Würzburger;;;;;;;;;;;;;;;;;;;;
entity_0105;Würzburger Winzer;mf;;entity_0001,x;Trudi,x;group;;;;;;Würzburger Winzer;;;;;;;;;;;;;;;;;;;;;
entity_0106;Mann;m;;;;generic, nonfact;;;;;;Mann;;;;;;;;;;;;;;;;;;;;;
entity_0107;Pfälzer;u;;entity_0138;Pälzer Jugend;group;;;;Pfälzer;;Pfälzer;Pfälzer;;;;;;Pfälzer;;;Pfälzer;;;Pfälzer;;Pfälzer;;;;;;
entity_0108;Burschen;m;;;;group;;;;;;;Burschen;Burschen;;;;;;;;;;;;Burschen;;;;;;;
entity_0109;Spinnerin;f;;;;nonfact;;;;;;;Spinnerin;;;;;;;;;;;;;;;;;;;;
entity_0110;Mädels;f;;;;group, nonfact;;;;;;;Mädels;;;;;;;;;;;;;;;;;;;;
entity_0111;Anwesende;mf;;entity_0131,entity_0108,entity_0009,entity_0022,entity_0010,entity_0024,x;Altersgenossinnen,Burschen,Franz Gersbacher,Wilm Steinecker,Steffen Gersbacher,Jakobine,x;group;;;;;;;Anwesende;;;;;;;;;;;;;;;;;;;;
entity_0112;Hubert Lingenfelder;m;;;;;;;;;;;Hubert Lingenfelder;;;;;;;;;;;;;;;;;;;;
entity_0113;Liebster der Spinnerin;m;;;;nonfact;;;;;;;Liebster der Spinnerin;;;;;;;;;;;;;;;;;;;;
entity_0114;Paare;mf;;entity_0116,entity_0117,entity_0112,entity_0124,entity_0126,entity_0121;Ludolf Kernberger,Sophie Lingenfelder,Lebrecht Obenauer,Lina Buschard,Gustel Breitinger,Hubert Lingenfelder;group;;;;;;;Paare;;;;;;;;;;;;;;;;;;;;
entity_0115;Buben;m;;;;nonfact;;;;;;;Buben;;;;;;;;;;;;;;;;;;;;
entity_0116;Gustel Breitinger;f;;;;;;;;;;;Gustel Breitinger;;;;;;;;;;;;;;;;;;;Gustel Breitinger;
entity_0117;Sophie Lingenfelder;f;;;;;;;;;;;Sophie Lingenfelder;;;;;;;;;;;;;;;;;;;;
entity_0118;Junggesellen;m;;;;group;;;;;;;Junggesellen;;;;;;;;;;;;;;;;;;;;
entity_0119;Ferdinand Klinkmüller;m;;;;;;;;;;;Ferdinand Klinkmüller;;;;;;;;;;;;;;;;;;;;
entity_0120;Auserwählte der Burschen;f;;;;group;;;;;;;Auserwählte der Burschen;;;;;;;;;;;;;;;;;;;;
entity_0121;Ludolf Kernberger;m;;;;;;;;;;;Ludolf der Schöne;;;;;;;;;;;;;;;;;;;;
entity_0122;Winzerbub;m;;;;nonfact;;;;;;;Winzerbub;;;;;;;;;;;;;;;;;;;;
entity_0123;Böse;u;;;;nonfact;;;;;;;Böse;;;;;;;;;;;;;;;;;;;;
entity_0124;Lina Buschard;f;;;;;;;;;;;Lina Buschard;;;;;;;;;;;;;;;;;;;;
entity_0125;Mädchen;f;;;;nonfact ;;;;;;;Mädchen;;;;;;;;;;;;;;;;;;;;
entity_0126;Lebrecht Obenauer;m;;;; ;;;;;;;Lebrecht Obenauer;;;;;;;;;;;;;;;;;;;;
entity_0127;Spinnerinnen;f;;entity_0120;Auserwählte der Burschen;group;;;;;;;Spinnerinnen;;;;;;;;;;;;;;;;;;;;
entity_0128;Mann;m;;; ;generic, nonfact;;;;;;;Mann;;;;;;;;;;;;;;;;;;;;
entity_0129;Ammeries Schatz;m;;;;nonfact;;;;;;;Ammeries Schatz;;;;;;;;;;;;;;;;;;;;
entity_0130;Gaubauern;m;;;;group;;;;;;;Gaubauern;;;;;;;;;;;;;;;;;;;;
entity_0131;Altersgenossinnen;f;;;;group;;;;;;;Altersgenossinnen;;;;;;;;;;;;;;;;;;;;
entity_0132;Wandergesell;m;;;;nonfact;;;;;;;Wandergesell;;;;;;;;;;;;;;;;;;;;
entity_0133;Kind;u;;;;nonfact;;;;;;;Kind;;;;;;;;;;;;;;;;;;;;
entity_0134;Sprecher;m;;;; ;;;;;;;Sprecher;;;;;;;;;;;;;;;;;;;;
entity_0135;Mütter;f;;;;group;;;;;;;Mütter;;;;;;;;;;;;;;;;;;;;
entity_0136;Bursche;m;;;; ;;;;;;;Bursche;;;;;;;;;;;;;;;;;;;;
entity_0137;Schmiedemeister Obenauer;m;;;;;;;;;;;Schmiedemeister;;;;;;;;;;;;;;;;;;;;
entity_0138;Pfälzer Jugend;mf;;entity_0143,entity_0118;junge Pfälzer Mädchen,Junggesellen;group;;;;;;;Pfälzer Jugend;;;;;;;;;;;;;;;;;;;;
entity_0139;Tanzmeister;m;;; ;generic, nonfact;;;;;;;Tanzmeister;;;;;;;;;;;;;;;;;;;;
entity_0140;Teilnehmer der Spinnstube;mf;;entity_0115,entity_0127,x;Spinnerinnen,Buben,x;group;;;;;;;Teilnehmer der Spinnstube;;;;;;;;;;;;;;;;;;;;
entity_0141;Todfeindin;f;;;;nonfact;;;;;;;Todfeindin;;;;;;;;;;;;;;;;;;;;
entity_0142;Zechbrüder;m;;;;group;;;;;;;Zechbrüder;;;;;;;;;;;;;;;;;;;;
entity_0143;junge Pfälzer Mädchen;f;;entity_0144,x;Wachenheimer Mädchen,x;group;;;;;;;junge Pfälzer Mädchen;;;;;;;;;;;;;;;;;;;;
entity_0144;Wachenheimer Mädchen;f;;;;;;;;;;;;Wachenheimer Mädchen;;;;;;;;;;;;;;;;;;;
entity_0145;ältere Männer;m;;;;;;;;;;;;ältere Männer;;;;;;;;;;;;;;;;;;;
entity_0146;Mädchen;f;;;;generic, group;;;;;;;;Mädchen;;;;;;;;;;;;;;;;;;;
entity_0147;Apotheker;m;;;;;;;;;;;;Apotheker;;;;;;;;;;;;;;;;;;;
entity_0148;Winzer Spinnstube;m;;;;group;;Winzer Spinnstube;;;;;;Winzer;;;;;;;;;;;;;;;;;;;
entity_0149;Fahrende;u;;entity_0015,entity_0147,x;Apotheker,Hammichel,x;group;;;;;;;;Fahrende;;;;;;;;;;;;;;;;;;;
entity_0150;Abnehmer;u;;;;group;;;;;;;;Abnehmer;;;;;;;;;;;;;;;;;;;
entity_0151;Anwesende;mf;;;;group;;;;;;;;Anwesende;;;;;;;;;;;;;;;;;;;
entity_0152;Anwesende Armbruster;mf;;entity_0002,entity_0006,entity_0007,entity_0013,entity_0014;Familie Armbruster,Familie Gersbacher,Schneckenkaschper,Trudi,Lutz Hebenstreit,x;group;;;;;;;;Anwesende Armbruster;;;;;;;;;;;;;;;;;;;
entity_0153;Anwesende Spinnstube;mf;;;;group;;;;;;;;Anwesende Spinnstube;;;;;;;;;;;;;;;;;;;
entity_0154;Weibliche Jugend;f;;entity_002,entity_0004,entity_0022,x;Trudi,Ammerie,Jakobine,x;group;;;;;;;;Weibliche Jugend;;;;;;;;;;;;;;;;;;;
